wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-19_21-59-36-989589,1781899176.989617,20260619_215656,160.453,physical_status,physical_alignment,status,fine_align_under_timeout
2026-06-19_21-59-36-990105,1781899176.990121,20260619_215656,160.453,dropzone_status,dropzone,status,fine_alignment_stopped: fine_align_under_timeout
2026-06-19_22-00-56-731684,1781899256.731709,20260619_215656,240.195,manual_mark,operator,lost_rear_camera_restart_aruco_node,
2026-06-19_22-01-13-716989,1781899273.717025,20260619_215656,257.180,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_22-01-13-717547,1781899273.717563,20260619_215656,257.181,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_22-01-15-217318,1781899275.217343,20260619_215656,258.680,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_22-02-00-245396,1781899320.245422,20260619_215656,303.708,physical_status,physical_alignment,status,fine_align_under_timeout
2026-06-19_22-02-00-246248,1781899320.246262,20260619_215656,303.709,dropzone_status,dropzone,status,fine_alignment_stopped: fine_align_under_timeout
2026-06-19_22-02-03-457146,1781899323.457174,20260619_215656,306.920,manual_mark,operator,lost_rear_camera_again_stoped_testing for full trolleys,
2026-06-19_22-04-20-622074,1781899460.622100,20260619_215656,444.085,manual_mark,operator,recalibrate_start,
2026-06-19_22-05-56-122340,1781899556.122372,20260619_215656,539.585,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_22-06-20-781814,1781899580.781839,20260619_215656,564.245,manual_mark,operator,recalibrate_start,
2026-06-19_22-07-04-603610,1781899624.603636,20260619_215656,608.067,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-19_22-07-04-603807,1781899624.603815,20260619_215656,608.067,physical_status,physical_alignment,status,side_align_left_started
2026-06-19_22-07-16-250551,1781899636.250613,20260619_215656,619.714,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[23, 24, 25, 26] target_pair=[24, 25] target_x=+0.3547 target_y=+0.2638 side_target_offset_x=+0.3560 center_x=+0.3735 center_y=-0.0429 yaw=-178.86deg error_x=-0.0013 yaw_error=+1.14deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-19_22-07-16-252367,1781899636.252388,20260619_215656,619.715,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[23, 24, 25, 26] target_pair=[24, 25] target_x=+0.3547 target_y=+0.2638 side_target_offset_x=+0.3560 center_x=+0.3735 center_y=-0.0429 yaw=-178.86deg error_x=-0.0013 yaw_error=+1.14deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-19_22-07-18-343053,1781899638.343079,20260619_215656,621.806,yolo_detection,yolo,empty_trolley,"{""classes"": [""empty_trolley""]}"
2026-06-19_22-07-18-344914,1781899638.344936,20260619_215656,621.808,dropzone_status,dropzone,status,WARNING: empty_trolley_detected via live_yolov8_topic. Sent charging goal; pickup/delivery cancelled. Waiting for the next trolley_ready command.
2026-06-19_22-07-36-198677,1781899656.198702,20260619_215656,639.662,dropzone_status,dropzone,status,"ignored check_trolley_type; current phase=returning_to_charging. Send status to see the next expected command, or stop to cancel."
2026-06-19_22-08-26-727114,1781899706.727139,20260619_215656,690.190,manual_mark,operator,object_detection_correct,
2026-06-19_22-09-28-320054,1781899768.320078,20260619_215656,751.783,dropzone_status,dropzone,status,phase=returning_to_charging; remembered_trolley_type=empty_trolley source=live_yolov8_topic; empty trolley detected; charging goal sent
2026-06-19_22-12-58-852032,1781899978.852057,20260619_215656,962.315,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_22-13-38-734064,1781900018.734098,20260619_215656,1002.197,manual_mark,operator,recalibrate_start,
2026-06-19_22-16-36-032190,1781900196.032227,20260619_215656,1179.495,run_end,logger,logger_shutdown,
