time_ms,angle,fsr_raw,fsr_voltage
20,180,2,0.0016
40,179,2,0.0016
60,178,1,0.0008
80,177,2,0.0016
100,176,2,0.0016
120,175,2,0.0016
140,174,7,0.0056
160,173,1,0.0008
180,172,1,0.0008
200,171,1,0.0008
220,170,0,0.0000
240,169,3,0.0024
260,168,1,0.0008
280,167,0,0.0000
300,166,0,0.0000
320,165,2,0.0016
340,164,27,0.0218
360,163,0,0.0000
380,162,2,0.0016
400,161,3,0.0024
420,160,1,0.0008
440,159,20,0.0161
460,158,0,0.0000
480,157,3,0.0024
500,156,0,0.0000
520,155,2,0.0016
540,154,5,0.0040
560,153,1,0.0008
580,152,4,0.0032
600,151,1,0.0008
620,150,2,0.0016
640,149,1,0.0008
660,148,4,0.0032
680,147,0,0.0000
700,146,2,0.0016
720,145,1,0.0008
740,144,5,0.0040
760,143,27,0.0218
780,142,2,0.0016
800,141,2,0.0016
820,140,2,0.0016
840,139,0,0.0000
860,138,1,0.0008
880,137,2,0.0016
900,136,1,0.0008
920,135,2,0.0016
940,134,2,0.0016
960,133,1,0.0008
980,132,1,0.0008
1000,131,2,0.0016
1020,130,1,0.0008
1040,129,2,0.0016
1060,128,3,0.0024
1080,127,2,0.0016
1100,126,2,0.0016
1120,125,3,0.0024
1140,124,0,0.0000
1160,123,1,0.0008
1180,122,1,0.0008
1200,121,2,0.0016
1220,120,19,0.0153
1240,119,3,0.0024
1260,118,2,0.0016
1280,117,2,0.0016
1300,116,22,0.0177
1320,115,26,0.0210
1340,114,2,0.0016
1360,113,1,0.0008
1380,112,1,0.0008
1400,111,2,0.0016
1420,110,1,0.0008
1440,109,4,0.0032
1460,108,2,0.0016
1480,107,3,0.0024
1500,106,2,0.0016
1520,105,2,0.0016
1540,104,1,0.0008
1560,103,1,0.0008
1580,102,44,0.0355
1600,101,2,0.0016
1620,100,24,0.0193
1640,99,1,0.0008
1660,98,19,0.0153
1680,97,2,0.0016
1700,96,7,0.0056
1720,95,2,0.0016
1740,94,2,0.0016
1760,93,7,0.0056
1780,92,2,0.0016
1800,91,1,0.0008
1820,90,18,0.0145
1840,89,1,0.0008
1860,88,1,0.0008
1880,87,111,0.0895
1900,86,2,0.0016
1920,85,2,0.0016
1940,84,2,0.0016
1960,83,2,0.0016
1980,82,3,0.0024
2000,81,5,0.0040
2020,80,1,0.0008
2040,79,8,0.0064
2060,78,3,0.0024
2080,77,1,0.0008
2100,76,1,0.0008
2120,75,2,0.0016
2140,74,61,0.0492
2160,73,1,0.0008
2180,72,88,0.0709
2200,71,0,0.0000
2220,70,4,0.0032
2240,69,1,0.0008
2260,68,3,0.0024
2280,67,3,0.0024
2300,66,1,0.0008
2320,65,1,0.0008
2340,64,23,0.0185
2360,63,1,0.0008
2380,62,86,0.0693
2400,61,3,0.0024
2420,60,104,0.0838
2440,59,5,0.0040
2460,58,1,0.0008
2480,57,57,0.0459
2500,56,1,0.0008
2520,55,1,0.0008
2540,54,2,0.0016
2560,53,3,0.0024
2580,52,3,0.0024
2600,51,0,0.0000
2620,50,2,0.0016
2640,49,2,0.0016
2660,48,22,0.0177
2680,47,9,0.0073
2700,46,7,0.0056
2720,45,77,0.0621
2740,44,4,0.0032
2760,43,139,0.1120
2780,42,1,0.0008
2800,41,110,0.0886
2820,40,18,0.0145
2840,39,3,0.0024
2860,38,9,0.0073
2880,37,3,0.0024
2900,36,134,0.1080
2920,35,1,0.0008
2940,34,124,0.0999
2960,33,72,0.0580
2980,32,3,0.0024
3000,31,8,0.0064
3020,30,63,0.0508
3040,29,4,0.0032
3060,28,79,0.0637
3080,27,3,0.0024
3100,26,7,0.0056
3120,25,56,0.0451
3140,24,6,0.0048
3160,23,119,0.0959
3180,22,1,0.0008
3200,21,140,0.1128
3220,20,93,0.0749
3240,19,42,0.0338
3260,18,126,0.1015
3280,17,8,0.0064
3300,16,187,0.1507
3320,15,27,0.0218
3340,14,215,0.1733
3360,13,203,0.1636
3380,12,298,0.2401
3400,11,318,0.2563
3420,10,46,0.0371
3440,9,250,0.2015
3460,8,59,0.0475
3480,7,320,0.2579
3500,6,233,0.1878
3520,5,332,0.2675
3540,4,313,0.2522
3560,3,106,0.0854
3580,2,328,0.2643
3600,1,280,0.2256
3620,0,332,0.2675
