type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
read,1130403,26.45,100841.58,1008.42,95.40,4,82.01,,,
read,1131414,26.45,100841.47,1008.41,95.41,4,82.02,,,
read,1132426,26.45,100841.57,1008.42,95.40,4,82.01,,,
read,1133442,26.46,100841.69,1008.42,95.39,4,82.00,,,
read,1134444,26.46,100841.59,1008.42,95.40,4,82.01,,,
read,1135445,26.46,100841.99,1008.42,95.37,4,81.97,,,
read,1136450,26.46,100842.26,1008.42,95.34,4,81.95,,,
read,1137436,26.46,100841.83,1008.42,95.38,4,81.99,,,
read,1138444,26.46,100842.14,1008.42,95.35,4,81.96,,,
read,1139451,26.46,100841.99,1008.42,95.37,4,81.97,,,
read,1140465,26.46,100841.90,1008.42,95.37,4,81.98,,,
read,1141483,26.46,100842.08,1008.42,95.36,4,81.97,,,
read,1142498,26.46,100842.16,1008.42,95.35,4,81.96,,,
read,1143509,26.46,100842.36,1008.42,95.34,4,81.94,,,
read,1144524,26.46,100842.45,1008.42,95.33,4,81.94,,,
read,1145535,26.46,100842.42,1008.42,95.33,4,81.94,,,
read,1146553,26.46,100842.66,1008.43,95.31,4,81.92,,,
read,1147554,26.46,100842.80,1008.43,95.30,4,81.91,,,
read,1148560,26.46,100842.83,1008.43,95.30,4,81.91,,,
read,1149580,26.46,100843.10,1008.43,95.27,4,81.88,,,
read,1150584,26.46,100843.14,1008.43,95.27,4,81.88,,,
read,1151592,26.46,100842.96,1008.43,95.29,4,81.89,,,
read,1152597,26.46,100842.71,1008.43,95.31,4,81.91,,,
read,1153601,26.46,100842.58,1008.43,95.32,4,81.93,,,
read,1154617,26.46,100843.09,1008.43,95.28,4,81.88,,,
read,1155634,26.46,100843.30,1008.43,95.26,4,81.87,,,
read,1156643,26.46,100843.52,1008.44,95.24,4,81.85,,,
read,1157661,26.47,100842.86,1008.43,95.29,4,81.90,,,
read,1158664,26.47,100842.59,1008.43,95.32,4,81.93,,,
read,1159668,26.47,100842.44,1008.42,95.33,4,81.94,,,
read,1160684,26.47,100842.16,1008.42,95.35,4,81.96,,,
read,1161703,26.47,100842.02,1008.42,95.36,4,81.97,,,
read,1162708,26.47,100841.39,1008.41,95.42,4,82.03,,,
read,1163711,26.47,100841.30,1008.41,95.43,4,82.03,,,
read,1164714,26.47,100841.35,1008.41,95.42,4,82.03,,,
read,1165724,26.47,100841.17,1008.41,95.44,4,82.04,,,
read,1166735,26.47,100840.59,1008.41,95.48,4,82.09,,,
read,1167746,26.47,100840.55,1008.41,95.49,4,82.10,,,
read,1168758,26.47,100840.31,1008.40,95.51,4,82.12,,,
read,1169752,26.47,100839.92,1008.40,95.54,4,82.15,,,
read,1170768,26.47,100839.84,1008.40,95.55,4,82.15,,,
read,1171772,26.47,100840.02,1008.40,95.53,4,82.14,,,
read,1172776,26.47,100840.15,1008.40,95.52,4,82.13,,,
read,1173792,26.47,100840.12,1008.40,95.52,4,82.13,,,
read,1174812,26.47,100840.70,1008.41,95.47,4,82.08,,,
read,1175828,26.47,100840.77,1008.41,95.47,4,82.08,,,
read,1176834,26.48,100841.20,1008.41,95.43,4,82.04,,,
read,1177841,26.47,100841.63,1008.42,95.40,4,82.01,,,
read,1178852,26.47,100841.92,1008.42,95.37,4,81.98,,,
read,1179856,26.47,100842.27,1008.42,95.34,4,81.95,,,
read,1180864,26.47,100842.11,1008.42,95.36,4,81.97,,,
read,1181874,26.47,100842.34,1008.42,95.34,4,81.95,,,
read,1182885,26.47,100842.70,1008.43,95.31,4,81.92,,,
read,1183895,26.47,100842.47,1008.42,95.33,4,81.94,,,
