epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11212.3,0.14836,0.13133,0.72382,0.97026,0.94323,0.9811,0.91641,0.37915,0.43259,0.90619,0.000900844,0.000900844,0.000900844
43,11480.3,0.14208,0.12617,0.72267,0.96551,0.97064,0.98506,0.90985,0.38282,0.35567,0.91912,0.000896127,0.000896127,0.000896127
44,11744.9,0.1477,0.1297,0.72221,0.98043,0.96895,0.99229,0.91958,0.39345,0.32889,0.92056,0.000891313,0.000891313,0.000891313
45,12009.2,0.1568,0.13691,0.72462,0.94914,0.94255,0.97622,0.88647,0.45535,0.48581,0.95831,0.000886404,0.000886404,0.000886404
46,12274.2,0.14186,0.12693,0.72167,0.95934,0.95968,0.98649,0.91653,0.39422,0.36324,0.92442,0.000881401,0.000881401,0.000881401
47,12538.4,0.13606,0.1238,0.72104,0.97648,0.97164,0.98408,0.9229,0.40063,0.39779,0.91998,0.000876305,0.000876305,0.000876305
48,12801.5,0.1377,0.12233,0.72121,0.9668,0.96656,0.98914,0.90142,0.43561,0.40024,0.93505,0.000871117,0.000871117,0.000871117
49,13064.9,0.13232,0.11962,0.71847,0.96781,0.97427,0.98687,0.92934,0.41215,0.3516,0.91562,0.000865839,0.000865839,0.000865839
50,13328.5,0.13114,0.11642,0.71786,0.958,0.97219,0.99069,0.92431,0.39447,0.34548,0.92027,0.000860473,0.000860473,0.000860473
51,13592,0.12298,0.1135,0.7162,0.96184,0.96472,0.98873,0.91207,0.39224,0.35176,0.91412,0.000855018,0.000855018,0.000855018
52,13856.2,0.12022,0.10949,0.71524,0.98065,0.95896,0.98862,0.90752,0.41678,0.33416,0.93885,0.000849477,0.000849477,0.000849477
53,14120.4,0.12196,0.11718,0.71616,0.94661,0.92786,0.95925,0.86724,0.4388,0.47428,0.95384,0.000843851,0.000843851,0.000843851
54,14385,0.12024,0.11405,0.71616,0.9527,0.96682,0.98785,0.90832,0.42746,0.37217,0.93723,0.000838141,0.000838141,0.000838141
55,14649.4,0.12136,0.11097,0.71767,0.97724,0.9791,0.98594,0.90801,0.39146,0.31774,0.93807,0.000832349,0.000832349,0.000832349
56,14914.1,0.12256,0.11871,0.71706,0.96955,0.95913,0.98559,0.8997,0.40561,0.36184,0.93516,0.000826477,0.000826477,0.000826477
57,15178.5,0.11806,0.10988,0.71651,0.97156,0.96087,0.98754,0.9069,0.40788,0.3403,0.96103,0.000820525,0.000820525,0.000820525
58,15445.3,0.12031,0.11335,0.7168,0.95586,0.95507,0.98307,0.89378,0.41665,0.37903,0.93965,0.000814495,0.000814495,0.000814495
59,15712.5,0.12407,0.12037,0.71742,0.95636,0.97461,0.99079,0.94616,0.38502,0.34956,0.90956,0.000808389,0.000808389,0.000808389
60,15976.4,0.12562,0.12305,0.71837,0.97056,0.95796,0.987,0.92446,0.40713,0.36234,0.94123,0.000802208,0.000802208,0.000802208
61,16240.4,0.12781,0.12333,0.71907,0.96275,0.94698,0.97539,0.88658,0.41925,0.40998,0.95263,0.000795954,0.000795954,0.000795954
62,16504.3,0.12375,0.11578,0.71751,0.97347,0.95726,0.98679,0.88869,0.4135,0.36174,0.94935,0.000789628,0.000789628,0.000789628
63,16766.6,0.11998,0.11291,0.71704,0.96454,0.97111,0.98257,0.89758,0.41295,0.35953,0.95593,0.000783231,0.000783231,0.000783231
64,17029.2,0.12031,0.11605,0.71656,0.95582,0.95705,0.978,0.89558,0.40649,0.39092,0.93373,0.000776766,0.000776766,0.000776766
65,17291.9,0.12142,0.11418,0.7147,0.88426,0.92205,0.94953,0.87102,0.41871,0.53446,0.94333,0.000770234,0.000770234,0.000770234
66,17555.6,0.11326,0.11057,0.71288,0.9172,0.90721,0.95297,0.86555,0.42761,0.57044,0.93674,0.000763637,0.000763637,0.000763637
67,17820.1,0.10512,0.09978,0.71442,0.97654,0.95943,0.98361,0.90892,0.40406,0.37803,0.93599,0.000756976,0.000756976,0.000756976
68,18084.2,0.10132,0.09751,0.7123,0.96143,0.98942,0.98545,0.90849,0.38184,0.31349,0.91791,0.000750252,0.000750252,0.000750252
69,18347.1,0.09921,0.09645,0.71196,0.96561,0.97267,0.99015,0.92469,0.40183,0.32935,0.94147,0.000743468,0.000743468,0.000743468
70,18610.3,0.09611,0.09337,0.7116,0.96934,0.99063,0.98904,0.91935,0.3693,0.29954,0.93056,0.000736625,0.000736625,0.000736625
71,18874.5,0.09158,0.0914,0.70989,0.99051,0.97993,0.99129,0.91511,0.37752,0.29397,0.92785,0.000729725,0.000729725,0.000729725
72,19143.8,0.09152,0.09084,0.70938,0.97668,0.98084,0.98939,0.92348,0.38328,0.31737,0.93288,0.00072277,0.00072277,0.00072277
73,19409.4,0.09367,0.0949,0.70957,0.98058,0.9785,0.99042,0.91023,0.37306,0.29642,0.92969,0.000715761,0.000715761,0.000715761
74,19674.3,0.09479,0.09471,0.71036,0.98739,0.97747,0.99021,0.91327,0.3765,0.31116,0.92797,0.0007087,0.0007087,0.0007087
75,19937.9,0.09295,0.09361,0.70947,0.98779,0.97682,0.98792,0.8921,0.38289,0.30676,0.95922,0.000701588,0.000701588,0.000701588
76,20202.6,0.09564,0.09547,0.71284,0.98406,0.97474,0.98847,0.89934,0.38754,0.31331,0.95336,0.000694428,0.000694428,0.000694428
77,20468,0.09649,0.09389,0.71197,0.98122,0.98268,0.98954,0.90226,0.39118,0.3182,0.93852,0.000687222,0.000687222,0.000687222
78,20732.8,0.0961,0.09169,0.71332,0.97677,0.97718,0.99058,0.89889,0.38659,0.3366,0.94122,0.00067997,0.00067997,0.00067997
79,20998.1,0.09476,0.09176,0.71193,0.98524,0.97805,0.99101,0.90698,0.38528,0.31278,0.94278,0.000672675,0.000672675,0.000672675
80,21261.1,0.0956,0.09291,0.71276,0.98946,0.97536,0.993,0.91166,0.38248,0.27324,0.94261,0.000665339,0.000665339,0.000665339
81,21524.5,0.09149,0.08956,0.70964,0.97561,0.98566,0.99346,0.94247,0.38673,0.30309,0.95492,0.000657963,0.000657963,0.000657963
82,21789.7,0.08608,0.08511,0.70884,0.9428,0.95131,0.97983,0.91094,0.39749,0.43761,0.94561,0.00065055,0.00065055,0.00065055
83,22054.1,0.08366,0.08451,0.70926,0.95961,0.97008,0.99012,0.90155,0.3861,0.35062,0.96776,0.000643101,0.000643101,0.000643101
84,22318,0.08448,0.08405,0.70754,0.98867,0.97532,0.9932,0.908,0.37791,0.31328,0.95317,0.000635617,0.000635617,0.000635617
85,22583.4,0.08123,0.08164,0.70712,0.97522,0.98028,0.993,0.91037,0.38136,0.30494,0.94164,0.000628101,0.000628101,0.000628101
86,22851.1,0.07982,0.08046,0.7054,0.96778,0.97243,0.99311,0.91083,0.3876,0.31182,0.95834,0.000620555,0.000620555,0.000620555
87,23116.3,0.07757,0.07806,0.70655,0.95472,0.97783,0.99179,0.90117,0.38759,0.32965,0.95897,0.000612981,0.000612981,0.000612981
88,23381,0.07954,0.07873,0.7075,0.95288,0.98531,0.99175,0.90787,0.38415,0.31125,0.94765,0.00060538,0.00060538,0.00060538
89,23646.5,0.07527,0.07689,0.70638,0.98313,0.97281,0.99116,0.91519,0.38231,0.29552,0.94279,0.000597754,0.000597754,0.000597754
90,23909.9,0.07029,0.07168,0.70625,0.98091,0.98174,0.99009,0.91233,0.37842,0.29159,0.93973,0.000590105,0.000590105,0.000590105
91,24173.4,0.06894,0.06927,0.70569,0.98492,0.97766,0.98987,0.90377,0.38121,0.30192,0.94503,0.000582435,0.000582435,0.000582435
92,24439.5,0.06815,0.06931,0.70496,0.97555,0.98437,0.98958,0.90599,0.38286,0.31263,0.95865,0.000574746,0.000574746,0.000574746
93,24705.9,0.06812,0.06876,0.70485,0.9729,0.98669,0.98824,0.91915,0.37264,0.29866,0.93895,0.00056704,0.00056704,0.00056704
94,24971.3,0.07286,0.07265,0.70617,0.98321,0.98058,0.98963,0.91132,0.38026,0.29586,0.9436,0.000559318,0.000559318,0.000559318
