timestamp,command,device_name,device_address,success,scan_ms,rssi_last_dbm,rssi_mean_dbm,rssi_min_dbm,rssi_max_dbm,rssi_samples,connect_ms,notify_setup_ms,command_write_ms,time_to_first_response_ms,response_wait_ms,disconnect_ms,total_ms,notification_count,response_line_count,press_finished,threshold,threshold_reached,trigger_angle,fsr_raw,current_angle,servo_state,response,error_stage,error
2026-06-21T22:06:00.480,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6092.30,-51,-55.17,-60,-51,12,1305.17,174.78,1.75,88.32,8939.34,1994.63,18510.65,19,10,yes,50,yes,42,108,42,,PRESS | HIT | A 42 | F 108 | T 50 | HOLD | RETURN | DONE | R 1 | A 42,,
2026-06-21T22:06:20.469,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6045.87,-51,-58.17,-67,-50,12,1298.31,174.35,1.91,87.94,8938.48,2084.61,18546.14,19,10,yes,50,yes,42,94,42,,PRESS | HIT | A 42 | F 94 | T 50 | HOLD | RETURN | DONE | R 1 | A 42,,
2026-06-21T22:06:40.153,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6087.73,-57,-56.90,-72,-49,10,1599.29,171.77,1.39,88.78,8940.04,2038.89,18842.23,18,9,yes,50,no,42,91,42,,PRESS | HIT | A 42 | F 91 | T 50 | HOLD | RETURN | DONE | R 1A 42,,
2026-06-21T22:07:00.191,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6063.10,-52,-54.42,-59,-46,12,1563.78,173.91,1.08,88.46,8939.42,2084.08,18828.06,19,10,yes,50,yes,42,113,42,,PRESS | HIT | A 42 | F 113 | T 50 | HOLD | RETURN | DONE | R 1 | A 42,,
2026-06-21T22:07:20.532,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6025.74,-51,-54.18,-61,-46,11,1284.51,173.75,1.14,89.03,8940.29,2038.40,18466.96,19,10,yes,50,yes,42,94,42,,PRESS | HIT | A 42 | F 94 | T 50 | HOLD | RETURN | DONE | R 1 | A 42,,
2026-06-21T22:07:45.133,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6088.41,-56,-56.25,-71,-50,12,1685.38,174.72,1.40,88.19,8939.03,1993.77,18885.81,18,9,yes,,yes,41,168T 50,41,,PRESS | HIT | A 41 | F 168T 50 | HOLD | RETURN | DONE | R 1 | A 41,,
2026-06-21T22:08:06.102,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6033.05,-52,-55.18,-75,-46,11,1741.31,174.29,1.13,89.01,8939.79,1995.09,18887.88,19,10,yes,50,yes,42,113,42,,PRESS | HIT | A 42 | F 113 | T 50 | HOLD | RETURN | DONE | R 1 | A 42,,
2026-06-21T22:11:04.054,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6030.35,-56,-53.00,-56,-50,6,2897.59,390.54,1.27,88.79,9119.54,2489.16,20931.12,19,10,yes,50,yes,38,86,38,,PRESS | HIT | A 38 | F 86 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:11:26.428,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6073.94,-52,-53.50,-61,-44,12,1351.76,173.93,1.38,88.85,9164.79,1813.46,18582.70,19,10,yes,50,yes,38,112,38,,PRESS | HIT | A 38 | F 112 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:11:45.970,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6068.80,-50,-53.00,-57,-50,11,1299.79,173.11,0.99,89.26,9119.75,2354.62,19019.60,19,10,yes,50,yes,38,114,38,,PRESS | HIT | A 38 | F 114 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:12:06.101,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6023.17,-55,-58.17,-69,-53,12,1688.77,173.71,2.05,87.61,9073.54,1949.39,18913.26,19,10,yes,50,yes,39,54,39,,PRESS | HIT | A 39 | F 54 | T 50 | HOLD | RETURN | DONE | R 1 | A 39,,
2026-06-21T22:12:26.171,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6059.60,-51,-53.27,-57,-51,11,1652.71,173.34,1.24,88.74,9119.26,1814.56,18823.52,19,10,yes,50,yes,38,109,38,,PRESS | HIT | A 38 | F 109 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:12:45.994,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6049.66,-64,-55.00,-64,-51,12,1279.73,173.28,1.22,87.98,9119.58,2398.16,19025.78,19,10,yes,50,yes,38,117,38,,PRESS | HIT | A 38 | F 117 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:13:05.926,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6080.14,-53,-58.90,-75,-51,10,1342.08,172.74,1.30,88.63,9075.18,2398.72,19073.12,19,10,yes,50,yes,39,56,39,,PRESS | HIT | A 39 | F 56 | T 50 | HOLD | RETURN | DONE | R 1 | A 39,,
2026-06-21T22:13:26.311,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6097.86,-51,-53.91,-56,-51,11,1413.17,173.30,1.08,89.41,9120.12,1858.22,18666.44,19,10,yes,50,yes,38,114,38,,PRESS | HIT | A 38 | F 114 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:13:46.107,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6061.19,-43,-54.00,-61,-43,12,1678.67,173.55,1.11,88.27,9120.23,1858.15,18895.41,19,10,yes,50,yes,38,95,38,,PRESS | HIT | A 38 | F 95 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:14:07.666,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6067.50,-51,-56.92,-63,-51,12,2658.19,172.85,1.16,89.06,9120.94,2308.94,20331.92,19,10,yes,50,yes,38,120,38,,PRESS | HIT | A 38 | F 120 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:14:29.221,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6056.56,-44,-50.67,-62,-43,12,1587.77,174.24,1.13,88.38,9119.62,1814.94,18756.95,19,10,yes,50,yes,38,121,38,,PRESS | HIT | A 38 | F 121 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:14:48.850,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6116.97,-44,-58.82,-69,-44,11,1339.62,172.98,1.10,89.39,9074.88,2444.56,19152.83,19,10,yes,50,yes,39,61,39,,PRESS | HIT | A 39 | F 61 | T 50 | HOLD | RETURN | DONE | R 1 | A 39,,
2026-06-21T22:15:08.832,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6042.18,-46,-57.42,-71,-45,12,1457.77,172.66,1.39,88.12,9119.36,2353.21,19149.85,19,10,yes,50,yes,38,125,38,,PRESS | HIT | A 38 | F 125 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:15:29.596,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6080.67,-53,-58.92,-79,-43,12,1623.11,173.76,1.39,88.32,9119.54,2399.30,19400.85,19,10,yes,50,yes,38,120,38,,PRESS | HIT | A 38 | F 120 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
2026-06-21T22:15:50.601,PRESS,XIAO-FSR-SERVO,F6:75:48:70:C7:F7,True,6087.82,-50,-50.82,-56,-43,11,1625.98,173.59,1.13,88.84,9119.52,2399.69,19410.22,19,10,yes,50,yes,38,118,38,,PRESS | HIT | A 38 | F 118 | T 50 | HOLD | RETURN | DONE | R 1 | A 38,,
