camera,marker_id,frame_id,count,mean_x,mean_y,mean_z,std_x,std_y,std_z,mean_qx,mean_qy,mean_qz,mean_qw,min_x,max_x,min_y,max_y,min_z,max_z
front,12,camera_front_optical_link,50,0.04665366216416721,-0.005228361381821597,0.22505958181174815,0.02126430565373724,0.0018214982745107617,0.00496348311250767,0.8932187689227171,0.013560541991184475,-0.017142289084787928,0.44822403795168186,0.01767528957965701,0.06637257758259639,-0.00880281848753025,-0.0023395553900284415,0.21762636300229177,0.23067043172844012
front,10,camera_front_optical_link,50,-0.04698762472958628,-0.006840889319284283,0.22653104611744976,0.021804957505589934,0.001026511731470303,0.006361127634789437,0.8930200464854012,-0.005552731110898852,0.024617315724064157,0.4484595973991476,-0.07763903798053236,-0.02692346130552258,-0.008475603538221693,-0.0037154110056426643,0.21931346995727533,0.23594167044332381
front,14,camera_front_optical_link,23,0.12925079531106745,-0.00814576568491991,0.2631292247982471,0.00892217349425508,0.0021176621922805216,0.0033553622428398114,0.9038595818435485,0.0037532586097361797,-0.009286755681603831,0.42765694926686704,0.11980441091360536,0.1686394158878746,-0.010531796593221208,-0.0007811907538186725,0.2600654319592971,0.27769789826621816
rear,3,camera_rear_optical_link,50,0.05825244416992291,0.012473769908124177,0.2311203883877923,0.01796336520805668,0.0012667935682377635,0.005617227940943309,-0.02229301733672129,0.8791177390195258,-0.47412110946829467,-0.033505473792778934,0.034031281183823266,0.07783046847192227,0.00914558652714642,0.014246395428584697,0.22302613211604583,0.23940865781545503
rear,5,camera_rear_optical_link,50,-0.03308903181677748,0.01054611537680305,0.22557415013059817,0.017013524188113655,0.00180846778166043,0.003473647620991057,-0.0017996370393311295,0.8755634369825301,-0.48192487556973423,0.016050439729625422,-0.05639475055040449,-0.01486146453476332,0.007397441729797497,0.013733950254936884,0.22170667231916594,0.2315567856261943
rear,1,camera_rear_optical_link,22,0.15158238188524373,0.014868061285030125,0.2780794161306923,0.002315157302378602,0.0009692883897169365,0.0017627525766794132,-0.005357484044093112,0.8939816197232884,-0.44624671088974616,-0.04024647345177657,0.14588733221776243,0.1584986401251775,0.013502460037782585,0.01624528304761028,0.27569899104911394,0.28284636072024893
rear,7,camera_rear_optical_link,50,-0.14266322120347902,0.013124228365552009,0.275699956250222,0.02464512380286815,0.004551628772353466,0.010307249413414965,0.007490482779839503,0.8937352436960669,-0.4476538973222663,0.01770383737648598,-0.17567920297254724,-0.11658455612690484,0.007026143724430083,0.019834496155190704,0.26510982171245473,0.2904675726229151
front,11,camera_front_optical_link,1,-0.06525692181752614,0.049268789010372196,0.18815722111809643,0.0,0.0,0.0,0.8824454517477318,-0.013466001019602719,0.124813069881706,0.4533545953147337,-0.06525692181752614,-0.06525692181752614,0.049268789010372196,0.049268789010372196,0.18815722111809643,0.18815722111809643
rear,17,camera_rear_optical_link,1,1.16349963402557,-1.0687355957974605,2.3819643750441055,0.0,0.0,0.0,-0.5073304554563495,0.28609759434309084,0.6911327224972913,-0.4279013149910053,1.16349963402557,1.16349963402557,-1.0687355957974605,-1.0687355957974605,2.3819643750441055,2.3819643750441055
