run,success,failure_reason,failure_detail,duration_sec,startup_duration_sec,command_to_success_sec,mission_started_sec,attach_sec,detach_sec,dropoff_detected_sec,charging_detected_sec,last_trolley_x,last_trolley_y,last_robot_x,last_robot_y,mission_param_overrides,holonomic_param_overrides,last_log_line
1,True,,,286.122,9.582,286.121,12.504,112.408,219.332,190.062,285.116,5.1607,-0.1702,-0.0,0.096,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=2.8;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779392373.559004618] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
2,False,test_setup_failed,Could not apply mission controller test parameters.,11.484,9.48,,,,,,,,,,,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=2.8;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779392399.208878888] [nav2_trolley_mission_controller]: Trolley mission controller ready. Publish 'trolley_ready' on /trolley_command to run charging -> pickup -> dropoff -> home via /holonomic_goal. mission_step=step0
3,False,test_setup_failed,Could not apply mission controller test parameters.,11.435,9.432,,,,,,,,,,,local_max_vx=0.08;local_max_vy=0.1;local_max_wz=0.3;direct_close_speed=0.1;attached_local_max_vx=0.14;attached_local_max_vy=0.24;attached_local_max_wz=0.45;return_local_max_vx=0.18;return_local_max_vy=0.18;return_local_max_wz=0.45;drive_under_max_vx=0.05;drive_under_max_vy=0.12;drive_under_max_wz=0.16;straight_under_speed=0.16;pickup_aruco_clearance=0.85;attached_lidar_ignore_radius=2.8;straight_under_stop_y=0.16,max_vx=0.16;max_vy=0.16;max_wz=0.16,[python3-22] [INFO] [1779392411.147534803] [nav2_trolley_mission_controller]: Trolley mission controller ready. Publish 'trolley_ready' on /trolley_command to run charging -> pickup -> dropoff -> home via /holonomic_goal. mission_step=step0
