camera,sample_index,ros_time_sec,frame_id,marker_id,x,y,z,qx,qy,qz,qw
front,1,1780481527.2082489,camera_front_optical_link,4,-0.045257123568531316,0.04408757662821034,0.18181730623290096,0.006055335402963895,0.8724093327838425,-0.48100224845888023,0.08661481375786739
front,1,1780481527.2082489,camera_front_optical_link,5,-0.04711129655578741,-0.010616397126067333,0.2292679328405469,0.01697241638920967,0.8945871504910845,-0.4454104128630427,0.03217656556139563
front,1,1780481527.2082489,camera_front_optical_link,3,0.042519279003336005,-0.009952816707293834,0.22887703877259608,-0.004989453064554129,0.893885390244802,-0.44824527751693194,-0.004492844175309165
front,1,1780481527.2082489,camera_front_optical_link,7,-0.16010562240016551,-0.011601908545627407,0.2805043688175781,0.018612030026533957,0.910570149388034,-0.4126300962212875,0.015874478705007574
front,1,1780481527.2082489,camera_front_optical_link,1,0.1554895180065761,-0.009491972140991671,0.2812429528864976,-0.009734572127099729,0.9095602053767504,-0.41513692012208614,-0.01633427231482058
rear,1,1780481527.4362445,camera_rear_optical_link,12,0.04991566161346771,0.01426088952638255,0.22095218095318309,0.8740185553505365,0.020647373140484246,-0.041748685123828316,0.483655143853335
rear,1,1780481527.4362445,camera_rear_optical_link,10,-0.04213345406820367,0.012842478537056062,0.2218430345069694,0.8738046236187608,-0.002151243066260331,0.02213336644952815,0.4857684283538368
rear,1,1780481527.4362445,camera_rear_optical_link,14,0.16972224849742198,0.020033944402060983,0.2792163954340681,0.9000079964738021,0.02383678222717109,-0.0456510404855466,0.4328202821019989
rear,1,1780481527.4362445,camera_rear_optical_link,8,-0.15716363690416113,0.016038676150081713,0.2773522470158441,0.9030338195047531,-0.005389940702004949,0.03743094565311982,0.4279016168202675
front,2,1780481527.2966745,camera_front_optical_link,4,-0.0452705654465998,0.04431050853014333,0.1826032455712481,0.005187490411438041,0.8748599444821288,-0.4763995373779046,0.08738791833014686
front,2,1780481527.2966745,camera_front_optical_link,3,0.04288393168426421,-0.010007932966298655,0.2292113542919671,-0.0028386271861247686,0.8937840608296064,-0.44847191420834726,-0.0038648375046654655
front,2,1780481527.2966745,camera_front_optical_link,5,-0.047495418880524276,-0.010581678505961489,0.23032945725118156,0.012833959599683595,0.8942634099504972,-0.4463486299446407,0.03001905480265731
front,2,1780481527.2966745,camera_front_optical_link,7,-0.16054006012447733,-0.011564888724360218,0.2814005844722708,0.013740543243582043,0.9114884074298383,-0.4109518308001567,0.01089373004934074
front,2,1780481527.2966745,camera_front_optical_link,1,0.15522185330735938,-0.009491996286143015,0.2811526088215129,-0.00694877134529967,0.9095754775562498,-0.4153490427675652,-0.010456475370706717
rear,2,1780481527.540816,camera_rear_optical_link,12,0.04993640048680086,0.014299077272212362,0.22139364264797715,0.874482832969951,0.01978952366729956,-0.03989279185509712,0.4830079862195615
rear,2,1780481527.540816,camera_rear_optical_link,10,-0.042157597114626494,0.012818614465239988,0.22165685455714104,0.8744439303195113,-0.0032061807934409864,0.021371308688699475,0.4846450250410272
rear,2,1780481527.540816,camera_rear_optical_link,14,0.1692322215716189,0.019931049450100574,0.27885872038596493,0.9012825714736311,0.023321192784170844,-0.04198779669407801,0.43056111442370104
rear,2,1780481527.540816,camera_rear_optical_link,8,-0.15707057183303863,0.016071208797967244,0.27773598256969523,0.9023340173772139,-0.004042589989477182,0.0372392219210433,0.42940682214048514
rear,3,1780481527.6304588,camera_rear_optical_link,12,0.04984909072612161,0.01434826287030684,0.2214389855310669,0.8748092961505028,0.02058232543298546,-0.04055756485368618,0.48232784201367807
rear,3,1780481527.6304588,camera_rear_optical_link,10,-0.04225311733278349,0.012917391802189235,0.2217800313712393,0.8752038996626798,-0.004949401336502154,0.019457158642614887,0.4833374146693017
rear,3,1780481527.6304588,camera_rear_optical_link,14,0.16950912285239694,0.019922037610056478,0.27930742083921334,0.8991750361220182,0.022286759406676602,-0.04630547971723835,0.4345611088423269
rear,3,1780481527.6304588,camera_rear_optical_link,8,-0.15693712638251042,0.0160353962630174,0.2773462715188722,0.9031683984500211,-0.005285848472797153,0.03391919484378432,0.42791166386100776
rear,4,1780481527.7310183,camera_rear_optical_link,12,0.049925350937804314,0.014221692530299902,0.22112345383081608,0.8746925131834543,0.02057874888838494,-0.03985698745030266,0.48259811751227105
