camera,sample_index,ros_time_sec,frame_id,marker_id,x,y,z,qx,qy,qz,qw
left,1,1780494975.9819853,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,1,1780494975.9819853,camera_left_optical_link,25,-0.11618870877357187,0.06591807999106693,0.273599043037397,-0.010280856621846707,0.9967447930859097,0.07871743840598432,-0.014060097227554236
left,1,1780494975.9819853,camera_left_optical_link,23,0.1963312545388522,0.06558244051262377,0.2841241113340355,0.010416395240653633,0.9951353136803197,0.0854959729977493,0.047829329680965225
left,2,1780494976.0809975,camera_left_optical_link,24,0.03782383630651854,0.06297062582716419,0.26441147543229176,-0.0009903430243128827,0.9948153231237516,0.10124133511875855,0.009575184711068874
left,2,1780494976.0809975,camera_left_optical_link,25,-0.11674523422298994,0.06633343905423945,0.27494309273064027,-0.009742784253483175,0.9967921693399883,0.07897209714073909,-0.008594019470767997
left,2,1780494976.0809975,camera_left_optical_link,23,0.19517876080960841,0.06510266276678423,0.2824440057766512,0.011620234061537853,0.9948828724121299,0.08619188389293542,0.05141983559222529
left,3,1780494976.1864207,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,3,1780494976.1864207,camera_left_optical_link,25,-0.11615306798301377,0.06588078004237678,0.27377338969223475,-0.00970553274527493,0.9963699869785161,0.08419809099462112,-0.007958213079803829
left,3,1780494976.1864207,camera_left_optical_link,23,0.19517876080960841,0.06510266276678423,0.2824440057766512,0.011620234061537853,0.9948828724121299,0.08619188389293542,0.05141983559222529
left,4,1780494976.2851038,camera_left_optical_link,24,0.03787992814421103,0.06318768713159957,0.2649216535009011,-0.001209734577503633,0.9945203660429214,0.10447961411023365,0.0034334098914147963
left,4,1780494976.2851038,camera_left_optical_link,25,-0.11618870877357187,0.06591807999106693,0.273599043037397,-0.010280856621846707,0.9967447930859097,0.07871743840598432,-0.014060097227554236
left,4,1780494976.2851038,camera_left_optical_link,23,0.1963312545388522,0.06558244051262377,0.2841241113340355,0.010416395240653633,0.9951353136803197,0.0854959729977493,0.047829329680965225
left,5,1780494976.3859913,camera_left_optical_link,24,0.03781999396517986,0.06314023684422554,0.2643764548724498,-0.0010112962306005069,0.9948097155613522,0.10125480616912372,0.010003565980623524
left,5,1780494976.3859913,camera_left_optical_link,25,-0.11684503268883585,0.06626703361609093,0.2749966388152502,-0.014148437487684924,0.9963045059288623,0.08466731169133358,-0.0029324927050704357
left,5,1780494976.3859913,camera_left_optical_link,23,0.1963312545388522,0.06558244051262377,0.2841241113340355,0.010416395240653633,0.9951353136803197,0.0854959729977493,0.047829329680965225
left,6,1780494976.481756,camera_left_optical_link,24,0.03787992814421103,0.06318768713159957,0.2649216535009011,-0.001209734577503633,0.9945203660429214,0.10447961411023365,0.0034334098914147963
left,6,1780494976.481756,camera_left_optical_link,25,-0.11618870877357187,0.06591807999106693,0.273599043037397,-0.010280856621846707,0.9967447930859097,0.07871743840598432,-0.014060097227554236
left,6,1780494976.481756,camera_left_optical_link,23,0.19603874186297576,0.06551697277505741,0.28382857942998113,0.009137045159158762,0.9948422937532856,0.08681771878701534,0.05165277020721897
left,7,1780494976.5846555,camera_left_optical_link,24,0.03808551778622662,0.06334689966122677,0.2656213903890343,-0.003356447704649618,0.994762272938538,0.10170644916498575,0.009620436331570975
left,7,1780494976.5846555,camera_left_optical_link,25,-0.11618870877357187,0.06591807999106693,0.273599043037397,-0.010280856621846707,0.9967447930859097,0.07871743840598432,-0.014060097227554236
left,7,1780494976.5846555,camera_left_optical_link,23,0.1963312545388522,0.06558244051262377,0.2841241113340355,0.010416395240653633,0.9951353136803197,0.0854959729977493,0.047829329680965225
left,8,1780494976.6847816,camera_left_optical_link,24,0.03787992814421103,0.06318768713159957,0.2649216535009011,-0.001209734577503633,0.9945203660429214,0.10447961411023365,0.0034334098914147963
left,8,1780494976.6847816,camera_left_optical_link,25,-0.11630092800327668,0.06585907061786515,0.2736822914267924,-0.014645537303900452,0.9962975779690948,0.0842911837228401,-0.00846408391960894
left,8,1780494976.6847816,camera_left_optical_link,23,0.19517876080960841,0.06510266276678423,0.2824440057766512,0.011620234061537853,0.9948828724121299,0.08619188389293542,0.05141983559222529
left,9,1780494976.7851853,camera_left_optical_link,24,0.03801873639673319,0.06328889070459016,0.2650298709953643,-0.0031426869745328073,0.99498653137531,0.09863696558463707,0.016207249012853246
