time,aruco_distance_error_x,aruco_lateral_error_y,aruco_angle_error_rad,aruco_angle_error_deg,aruco_midpoint_x,aruco_midpoint_y,aruco_front_x,aruco_front_y,aruco_front_z,aruco_rear_x,aruco_rear_y,aruco_rear_z,aruco_measured_panel_distance,aruco_panel_distance_error,true_distance_error_x,true_lateral_error_y,true_angle_error_rad,true_angle_error_deg,true_midpoint_x,true_midpoint_y,true_front_x,true_front_y,true_rear_x,true_rear_y,true_panel_distance,true_panel_distance_error,true_robot_world_x,true_robot_world_y,true_robot_world_yaw_deg,distance_error_estimation_error,lateral_error_estimation_error,angle_error_estimation_error_rad,angle_error_estimation_error_deg,front_markers,rear_markers,cmd_vx,cmd_vy,cmd_wz
4.200949358,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.07069589845909652,-0.01910968410567538,-0.09560757871033708,-5.477910749567137,0.07069589845909652,-0.01910968410567538,0.5559489999823637,-0.06586091363014589,-0.41455720306417065,0.02764154541879513,0.9749999999999999,-1.1102230246251565e-16,-0.07220267737438998,0.012241873448428673,5.503120117702507,-0.00257401959432349,0.019748302468876114,0.04233544924494989,2.4256425655259366,2,6,0.013624375772954606,0.0,-0.031963277679232314
4.300319298,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.07069589845909652,-0.01910968410567538,-0.09560757871033708,-5.477910749567137,0.07069589845909652,-0.01910968410567538,0.5559489999823637,-0.06586091363014589,-0.41455720306417065,0.02764154541879513,0.9749999999999999,-1.1102230246251565e-16,-0.07220267737438998,0.012241873448428673,5.503120117702507,-0.00257401959432349,0.019748302468876114,0.04233544924494989,2.4256425655259366,2,6,0.013624375772954606,0.0,-0.031963277679232314
4.400275288,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06982438702041566,-0.019100939372209816,-0.09553861022068885,-5.473959146190902,0.06982438702041566,-0.019100939372209816,0.5550807564075338,-0.06581823776619547,-0.41543198236670253,0.027616359021775838,0.975,0.0,-0.07133348271685104,0.012321734908783796,5.499113746557517,-0.0017025081556426291,0.01973955773541055,0.042266480755301664,2.421690962149701,2,6,0.013624375772954606,0.0,-0.031963277679232314
4.500484251,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06982438702041566,-0.019100939372209816,-0.09553861022068885,-5.473959146190902,0.06982438702041566,-0.019100939372209816,0.5550807564075338,-0.06581823776619547,-0.41543198236670253,0.027616359021775838,0.975,0.0,-0.07133348271685104,0.012321734908783796,5.499113746557517,-0.0017025081556426291,0.01973955773541055,0.042266480755301664,2.421690962149701,2,6,0.013624375772954606,0.0,-0.031963277679232314
4.600741682,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06786935410917347,-0.01906601301022222,-0.09537088938834178,-5.464349450360993,0.06786935410917347,-0.01906601301022222,0.5531336602700063,-0.06570079794856437,-0.4173949520516594,0.027568771928119934,0.9749999999999999,-1.1102230246251565e-16,-0.06938197835432879,0.012486118649996731,5.489371197286525,0.0002525247555995591,0.019704631373422953,0.04209875992295459,2.4120812663197926,2,6,0.013624375772954606,0.0,-0.031963277679232314
4.703496619,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06786935410917347,-0.01906601301022222,-0.09537088938834178,-5.464349450360993,0.06786935410917347,-0.01906601301022222,0.5531336602700063,-0.06570079794856437,-0.4173949520516594,0.027568771928119934,0.9749999999999999,-1.1102230246251565e-16,-0.06938197835432879,0.012486118649996731,5.489371197286525,0.0002525247555995591,0.019704631373422953,0.04209875992295459,2.4120812663197926,2,6,0.013624375772954606,0.0,-0.031963277679232314
4.802498714,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06587464091817091,-0.019030906697829194,-0.09520118297430316,-5.454625989080281,0.06587464091817091,-0.019030906697829194,0.5511469631421209,-0.06558220403071655,-0.41939768130577904,0.027520390635058158,0.975,0.0,-0.0673908787081738,0.012653584187084989,5.4795137899872755,0.0022472379466021153,0.01966952506102993,0.04192905350891597,2.40235780503908,2,6,0.013624375772954606,0.0,-0.031963277679232314
4.900313321,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06587464091817091,-0.019030906697829194,-0.09520118297430316,-5.454625989080281,0.06587464091817091,-0.019030906697829194,0.5511469631421209,-0.06558220403071655,-0.41939768130577904,0.027520390635058158,0.975,0.0,-0.0673908787081738,0.012653584187084989,5.4795137899872755,0.0022472379466021153,0.01966952506102993,0.04192905350891597,2.40235780503908,2,6,0.013624375772954606,0.0,-0.031963277679232314
5.000285769,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06587464091817091,-0.019030906697829194,-0.09520118297430316,-5.454625989080281,0.06587464091817091,-0.019030906697829194,0.5511469631421209,-0.06558220403071655,-0.41939768130577904,0.027520390635058158,0.975,0.0,-0.0673908787081738,0.012653584187084989,5.4795137899872755,0.0022472379466021153,0.01966952506102993,0.04192905350891597,2.40235780503908,2,6,0.013624375772954606,0.0,-0.031963277679232314
5.102507615,0.06812187886477303,0.0006386183632007356,-0.05327212946538719,-3.0522681840412003,0.06812187886477303,0.0006386183632007356,0.5538554976506991,-0.025356139750852068,0.2638298540522501,-0.417611739921153,0.02663337647725354,0.270948455622053,0.97285739112838,-0.0021426088716199887,0.06292284234569198,-0.018979868817157037,-0.09495323686329506,-5.440419723372834,0.06292284234569198,-0.018979868817157037,0.5482068497503448,-0.06540919314220867,-0.4223611650589609,0.027449455507894592,0.9749999999999999,-1.1102230246251565e-16,-0.06444445451439447,0.012900844604886878,5.465112691744198,0.005199036519081046,0.019618487180357774,0.04168110739790787,2.3881515393316337,2,6,0.013624375772954606,0.0,-0.031963277679232314
