wall_time_iso,node_time_sec,run_id,run_elapsed_sec,event_type,topic,phase,command,status,camera,frame_id,marker_ids,marker_count,aruco_summary_json,detections_json,detection_count,note
2026-06-16T21:44:00.706,1781639040.706563,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0031,""y"":0.0183,""z"":0.1297,""yaw_rad"":-0.0207}]",,,
2026-06-16T21:44:00.817,1781639040.817415,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0182,""z"":0.1297,""yaw_rad"":-0.02}]",,,
2026-06-16T21:44:00.828,1781639040.828648,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0183,""y"":-0.0172,""z"":0.1703,""yaw_rad"":3.0914},{""id"":5,""x"":-0.0761,""y"":-0.0129,""z"":0.1842,""yaw_rad"":3.0711}]",,,
2026-06-16T21:44:00.858,1781639040.858538,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.017,""z"":0.1699,""yaw_rad"":3.0924},{""id"":5,""x"":-0.076,""y"":-0.0132,""z"":0.1845,""yaw_rad"":3.0673}]",,,
2026-06-16T21:44:00.898,1781639040.898516,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.018,""z"":0.1295,""yaw_rad"":-0.0192}]",,,
2026-06-16T21:44:00.957,1781639040.957463,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.0168,""z"":0.1696,""yaw_rad"":3.0916},{""id"":5,""x"":-0.0756,""y"":-0.0129,""z"":0.1832,""yaw_rad"":3.0685}]",,,
2026-06-16T21:44:00.991,1781639040.991797,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.0169,""z"":0.1699,""yaw_rad"":3.0949},{""id"":5,""x"":-0.0757,""y"":-0.0128,""z"":0.1838,""yaw_rad"":3.0674}]",,,
2026-06-16T21:44:01.000,1781639041.000844,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.003,""y"":0.0183,""z"":0.1298,""yaw_rad"":-0.0172}]",,,
2026-06-16T21:44:01.021,1781639041.021277,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0182,""y"":-0.0171,""z"":0.1703,""yaw_rad"":3.0877},{""id"":5,""x"":-0.0761,""y"":-0.0129,""z"":0.1836,""yaw_rad"":3.0673}]",,,
2026-06-16T21:44:01.101,1781639041.101806,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0031,""y"":0.0182,""z"":0.1296,""yaw_rad"":-0.0241}]",,,
2026-06-16T21:44:01.216,1781639041.216355,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0182,""z"":0.1302,""yaw_rad"":-0.0206}]",,,
2026-06-16T21:44:01.239,1781639041.239353,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.017,""z"":0.1699,""yaw_rad"":3.0883},{""id"":5,""x"":-0.0758,""y"":-0.0132,""z"":0.1834,""yaw_rad"":3.0668}]",,,
2026-06-16T21:44:01.273,1781639041.273913,,,aruco,/rear/aruco_markers,,,,rear,camera_rear_optical_link,3|5,2,"[{""id"":3,""x"":0.0181,""y"":-0.0171,""z"":0.17,""yaw_rad"":3.0919},{""id"":5,""x"":-0.0762,""y"":-0.0131,""z"":0.1842,""yaw_rad"":3.0679}]",,,
2026-06-16T21:44:01.297,1781639041.297532,,,aruco,/front/aruco_markers,,,,front,camera_front_optical_link,12,1,"[{""id"":12,""x"":-0.0029,""y"":0.0182,""z"":0.1297,""yaw_rad"":-0.0187}]",,,
