camera,sample_index,ros_time_sec,camera_frame_id,base_frame_id,marker_id,camera_x,camera_y,camera_z,camera_qx,camera_qy,camera_qz,camera_qw,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw
front,1,0.0,camera_front_optical_link,base_link,12,0.04042352054376714,-0.006064229996062366,0.15235413968831973,0.8959016268742367,0.027473946869835418,-0.05006123469661673,0.44056705504172666,0.3686570328436004,-0.04042408017157971,0.13974309760102055,0.36426648725778055,-0.3695371272030956,-0.6434132851313227,0.5628246462228524
front,1,0.0,camera_front_optical_link,base_link,10,-0.05235342228203124,-0.006856183768710865,0.15677278424225896,0.8986764215746493,-0.038517926684578034,0.0794188128035603,0.4296390471111507,0.37232730984863394,0.05235284642299437,0.14232838074699633,0.3799111322678598,-0.3655060086821388,-0.5356606789941256,0.6596518219301435
front,2,0.0,camera_front_optical_link,base_link,12,0.04050274039201699,-0.00592209902289662,0.15260890717832765,0.8970423002237184,0.026809513846196384,-0.050368932372314795,0.43824574410750866,0.3689479974004778,-0.04050330095564035,0.13972195130421267,0.36531552800583456,-0.3716124733343945,-0.6423933703627427,0.5619426059430879
front,2,0.0,camera_front_optical_link,base_link,10,-0.05240610211683222,-0.006754517812886068,0.15665663522066958,0.8984573479258684,-0.036612634855860256,0.0787167381689654,0.43039236059549796,0.372265008587854,0.05240552668443554,0.1421871537320724,0.38036379406021237,-0.3642196395400499,-0.5371692660634023,0.6588752673597191
front,3,0.0,camera_front_optical_link,base_link,12,0.04051939994721816,-0.0059248714001892445,0.1527425907951812,0.8972775088678132,0.0268820905941685,-0.04834885985777705,0.43798722930664463,0.3690679844259217,-0.04051996100188879,0.13978096056496492,0.3663647851669777,-0.3710401968103689,-0.6411514340818754,0.5630549308151306
front,3,0.0,camera_front_optical_link,base_link,10,-0.05233742559891307,-0.006898713335194391,0.15706135814800223,0.898610742439689,-0.03648140764097072,0.08016475558754801,0.42981560282301634,0.3725708734416189,0.052336848679884584,0.14248888123098208,0.381302805614214,-0.3639018446614124,-0.5360698936397603,0.659403281016865
front,4,0.0,camera_front_optical_link,base_link,12,0.040418999411131085,-0.006016906285537725,0.15235488401822325,0.8961733961216171,0.02710803152088898,-0.05053488270234059,0.43998252731349496,0.3686777071452063,-0.04041955904167712,0.13970052224567678,0.36425246648544385,-0.3703194533985368,-0.6433113912075351,0.5624358603756572
front,4,0.0,camera_front_optical_link,base_link,10,-0.0522835635304348,-0.006765733322733227,0.1561147592769466,0.8980139291993314,-0.038783263011783704,0.07691035542976254,0.43145293915073135,0.3717691610408948,0.052282990088460275,0.14196831355289036,0.37771561775965745,-0.36553303829879713,-0.5378858754688934,0.6590867127954805
front,5,0.0,camera_front_optical_link,base_link,12,0.040512418161505775,-0.005872555330714226,0.1524778487487276,0.8964437966870539,0.026858378368893057,-0.049854875766270706,0.4395243318122707,0.3688501557622541,-0.04051297824372391,0.1396216621594779,0.3646972759915759,-0.3705453248806221,-0.6426404880503754,0.5627657258680681
front,5,0.0,camera_front_optical_link,base_link,10,-0.05245885753781431,-0.00686956269685319,0.1568199659716875,0.8996502641583184,-0.0386656475945254,0.07724748548910865,0.42798036857030464,0.3723644173168834,0.052458281505468364,0.14236044604998827,0.38020902870511875,-0.36763000398281176,-0.5362802722881769,0.6577938462901786
front,6,0.0,camera_front_optical_link,base_link,12,0.04039293516836886,-0.0058770671762870775,0.15222943188200447,0.8961938755793905,0.026559394629524852,-0.04925217203601724,0.4401197103977959,0.36862310682875365,-0.04039349433810176,0.1395207668663986,0.3643727115411625,-0.37011939716506326,-0.6424275753840569,0.5634988636301523
front,6,0.0,camera_front_optical_link,base_link,10,-0.052305726729959416,-0.00685737276544278,0.15655458912890152,0.8983639206925065,-0.03684513702857426,0.07961714591506723,0.43040191908456055,0.37212905490450926,0.05230515167239824,0.14223724582070885,0.3805078812109083,-0.36395685708784375,-0.5365141635454624,0.6594707808767853
front,7,0.0,camera_front_optical_link,base_link,12,0.04051249232283413,-0.005972508623207785,0.15244951634461257,0.8966132364818183,0.02698046470369825,-0.0494174885022085,0.43922052606874534,0.36878223611017813,-0.04051305230098288,0.13970027708605393,0.36515273368738893,-0.37052281439427026,-0.6423092244487765,0.5628633806546549
front,7,0.0,camera_front_optical_link,base_link,10,-0.05230766007617145,-0.00680425609285484,0.15653359286489663,0.8979993058780794,-0.03738648238376865,0.07879511139038146,0.43126653939116705,0.37213247368195057,0.05230708509573456,0.14218023235149707,0.37932678660436137,-0.36404607129018796,-0.5371758282501362,0.6595633225751482
rear,1,0.0,camera_rear_optical_link,base_link,3,0.04657561697336647,0.008059717115709856,0.1564917859478327,-0.03125603173781259,0.8767969845010667,-0.47469646115049385,-0.07009549358581242,-0.09471686118612488,0.04657619182830512,0.1433012636142985,0.748516480311069,-0.657971627261659,-0.020096657245974824,0.07995336633883231
rear,1,0.0,camera_rear_optical_link,base_link,5,-0.0435375608106144,0.007856540154755181,0.15622636406054638,0.033941581236947266,0.8777467510200466,-0.4725903904378558,0.07118239250462892,-0.09487124796468058,-0.04353698693074348,0.14300509027752462,0.6557258259291424,-0.7502951966603683,-0.08119684555563271,0.022086904485204787
front,8,0.0,camera_front_optical_link,base_link,12,0.04038933158675739,-0.00592059534602664,0.15225132345095418,0.8959182264891558,0.026345143789468003,-0.04980086643057197,0.44063174936221117,0.3686245517348624,-0.04038989083690313,0.1395694685622401,0.36367754759307397,-0.37009670624291213,-0.6428740343395166,0.56345367633628
front,8,0.0,camera_front_optical_link,base_link,10,-0.05230026284502576,-0.006806540423141056,0.1563695977297299,0.8978568986944383,-0.03720631556130599,0.0782937993659345,0.4316697354807313,0.3719828779215739,0.05229968846697667,0.14211299590370136,0.3790056561148422,-0.36389097494316625,-0.5377295926633547,0.6593822534478558
