camera,sample_index,ros_time_sec,frame_id,marker_id,x,y,z,qx,qy,qz,qw
left,1,1780484837.110148,camera_left_optical_link,19,0.05954323323346287,-0.08917397736282616,0.32330809575400715,-0.003998372189578951,0.9949495085369281,-0.09691808625407528,-0.02581420226942127
left,1,1780484837.110148,camera_left_optical_link,18,0.22919524958710416,-0.09289648852862716,0.3434318748652225,-0.0026438899198529746,0.9998243362437759,-0.0004394300464201238,-0.018550293852633338
left,1,1780484837.110148,camera_left_optical_link,20,-0.0983961037616062,-0.10464144395426578,0.36936872480250094,-0.032112924041047416,0.9656746518118435,0.2572598222224974,-0.016081381397688162
left,1,1780484837.110148,camera_left_optical_link,21,-0.26500097381697835,-0.1184644962047064,0.4084008469912031,-0.013503071966207822,0.9863968958359755,0.13573013516694254,-0.09173963887105
left,2,1780484837.2064629,camera_left_optical_link,19,0.05954323323346287,-0.08917397736282616,0.32330809575400715,-0.003998372189578951,0.9949495085369281,-0.09691808625407528,-0.02581420226942127
left,2,1780484837.2064629,camera_left_optical_link,18,0.23233025096103602,-0.09440974544635887,0.3481624928823475,-0.013116887570986805,0.9994909037263846,-0.00012551336499009962,-0.02908375620617596
left,2,1780484837.2064629,camera_left_optical_link,20,-0.09922988428254985,-0.10582601845938662,0.37338263364724317,-0.03279998947353743,0.9715459636030301,0.23380483379555958,-0.018918271354068057
left,2,1780484837.2064629,camera_left_optical_link,21,-0.26500097381697835,-0.1184644962047064,0.4084008469912031,-0.013503071966207822,0.9863968958359755,0.13573013516694254,-0.09173963887105
left,3,1780484837.306726,camera_left_optical_link,19,0.05929046933600387,-0.08894901376211932,0.3217535288824634,-0.004127090506938281,0.9959878679076276,-0.08872745614790603,-0.010889106037097187
left,3,1780484837.306726,camera_left_optical_link,18,0.22694056540621704,-0.09228146621466073,0.3403414193899593,0.006997863296393782,0.9999688518991023,0.0034166046380043644,-0.001285283479945223
left,3,1780484837.306726,camera_left_optical_link,20,-0.09802504679821412,-0.10446716708716607,0.3687707707506116,-0.0325202234219986,0.9640849884581856,0.26055716945245094,-0.039906535117577024
left,3,1780484837.306726,camera_left_optical_link,21,-0.26500097381697835,-0.1184644962047064,0.4084008469912031,-0.013503071966207822,0.9863968958359755,0.13573013516694254,-0.09173963887105
left,4,1780484837.4069364,camera_left_optical_link,19,0.05957782842085758,-0.08984345886035323,0.32436178918133196,0.005315427627897968,0.9977401103045229,-0.06698004968510621,-0.0003024282260550788
left,4,1780484837.4069364,camera_left_optical_link,18,0.23233025096103602,-0.09440974544635887,0.3481624928823475,-0.013116887570986805,0.9994909037263846,-0.00012551336499009962,-0.02908375620617596
left,4,1780484837.4069364,camera_left_optical_link,20,-0.09805292741564597,-0.10400331871533226,0.36885665943541585,-0.04487657298757688,0.9648554415847643,0.2560433513298599,-0.038495094245033945
left,4,1780484837.4069364,camera_left_optical_link,21,-0.26500097381697835,-0.1184644962047064,0.4084008469912031,-0.013503071966207822,0.9863968958359755,0.13573013516694254,-0.09173963887105
left,5,1780484837.5077915,camera_left_optical_link,19,0.06023111695409263,-0.08912323704221897,0.3231169473970103,0.009299494060548525,0.9951759676185166,-0.09733817249144659,0.007974525740923728
left,5,1780484837.5077915,camera_left_optical_link,18,0.22694056540621704,-0.09228146621466073,0.3403414193899593,0.006997863296393782,0.9999688518991023,0.0034166046380043644,-0.001285283479945223
left,5,1780484837.5077915,camera_left_optical_link,20,-0.0983961037616062,-0.10464144395426578,0.36936872480250094,-0.032112924041047416,0.9656746518118435,0.2572598222224974,-0.016081381397688162
left,5,1780484837.5077915,camera_left_optical_link,21,-0.26500097381697835,-0.1184644962047064,0.4084008469912031,-0.013503071966207822,0.9863968958359755,0.13573013516694254,-0.09173963887105
