time_ms,angle,fsr_raw,fsr_voltage
20,180,2,0.0016
40,179,0,0.0000
60,178,1,0.0008
80,177,0,0.0000
100,176,0,0.0000
120,175,0,0.0000
140,174,3,0.0024
160,173,3,0.0024
180,172,1,0.0008
200,171,1,0.0008
220,170,2,0.0016
240,169,1,0.0008
260,168,2,0.0016
280,167,2,0.0016
300,166,0,0.0000
320,165,0,0.0000
340,164,0,0.0000
360,163,1,0.0008
380,162,2,0.0016
400,161,1,0.0008
420,160,2,0.0016
440,159,1,0.0008
460,158,0,0.0000
480,157,1,0.0008
500,156,2,0.0016
520,155,2,0.0016
540,154,0,0.0000
560,153,4,0.0032
580,152,2,0.0016
600,151,1,0.0008
620,150,1,0.0008
640,149,0,0.0000
660,148,0,0.0000
680,147,1,0.0008
700,146,3,0.0024
720,145,0,0.0000
740,144,2,0.0016
760,143,2,0.0016
780,142,1,0.0008
800,141,1,0.0008
820,140,1,0.0008
840,139,1,0.0008
860,138,2,0.0016
880,137,0,0.0000
900,136,3,0.0024
920,135,2,0.0016
940,134,2,0.0016
960,133,2,0.0016
980,132,6,0.0048
1000,131,2,0.0016
1020,130,1,0.0008
1040,129,4,0.0032
1060,128,2,0.0016
1080,127,2,0.0016
1100,126,1,0.0008
1120,125,1,0.0008
1140,124,1,0.0008
1160,123,5,0.0040
1180,122,0,0.0000
1200,121,2,0.0016
1220,120,0,0.0000
1240,119,1,0.0008
1260,118,0,0.0000
1280,117,0,0.0000
1300,116,2,0.0016
1320,115,6,0.0048
1340,114,1,0.0008
1360,113,0,0.0000
1380,112,1,0.0008
1400,111,1,0.0008
1420,110,0,0.0000
1440,109,2,0.0016
1460,108,8,0.0064
1480,107,0,0.0000
1500,106,2,0.0016
1520,105,2,0.0016
1540,104,1,0.0008
1560,103,3,0.0024
1580,102,1,0.0008
1600,101,1,0.0008
1620,100,1,0.0008
1640,99,2,0.0016
1660,98,2,0.0016
1680,97,2,0.0016
1700,96,6,0.0048
1720,95,3,0.0024
1740,94,0,0.0000
1760,93,2,0.0016
1780,92,0,0.0000
1800,91,1,0.0008
1820,90,1,0.0008
1840,89,3,0.0024
1860,88,0,0.0000
1880,87,1,0.0008
1900,86,1,0.0008
1920,85,5,0.0040
1940,84,1,0.0008
1960,83,4,0.0032
1980,82,0,0.0000
2000,81,3,0.0024
2020,80,1,0.0008
2040,79,0,0.0000
2060,78,0,0.0000
2080,77,2,0.0016
2100,76,2,0.0016
2120,75,1,0.0008
2140,74,2,0.0016
2160,73,1,0.0008
2180,72,1,0.0008
2200,71,1,0.0008
2220,70,2,0.0016
2240,69,1,0.0008
2260,68,0,0.0000
2280,67,0,0.0000
2300,66,0,0.0000
2320,65,1,0.0008
2340,64,1,0.0008
2360,63,2,0.0016
2380,62,1,0.0008
2400,61,2,0.0016
2420,60,1,0.0008
2440,59,1,0.0008
2460,58,1,0.0008
2480,57,1,0.0008
2500,56,1,0.0008
2520,55,1,0.0008
2540,54,1,0.0008
2560,53,1,0.0008
2580,52,1,0.0008
2600,51,2,0.0016
2620,50,0,0.0000
2640,49,0,0.0000
2660,48,2,0.0016
2680,47,2,0.0016
2700,46,2,0.0016
2720,45,3,0.0024
2740,44,1,0.0008
2760,43,5,0.0040
2780,42,2,0.0016
2800,41,1,0.0008
2820,40,3,0.0024
2840,39,2,0.0016
2860,38,2,0.0016
2880,37,2,0.0016
2900,36,4,0.0032
2920,35,1,0.0008
2940,34,0,0.0000
2960,33,3,0.0024
2980,32,2,0.0016
3000,31,0,0.0000
3020,30,8,0.0064
3040,29,0,0.0000
3060,28,5,0.0040
3080,27,1,0.0008
3100,26,0,0.0000
3120,25,0,0.0000
3140,24,2,0.0016
3160,23,0,0.0000
3180,22,1,0.0008
3200,21,1,0.0008
3220,20,2,0.0016
3240,19,2,0.0016
3260,18,0,0.0000
3280,17,3,0.0024
3300,16,0,0.0000
3320,15,5,0.0040
3340,14,2,0.0016
3360,13,5,0.0040
3380,12,3,0.0024
3400,11,2,0.0016
3420,10,0,0.0000
3440,9,1,0.0008
3460,8,0,0.0000
3480,7,2,0.0016
3500,6,0,0.0000
3520,5,0,0.0000
3540,4,1,0.0008
3560,3,1,0.0008
3580,2,1,0.0008
3600,1,0,0.0000
3620,0,0,0.0000
time_ms,angle,fsr_raw,fsr_voltage
20,180,0,0.0000
40,179,0,0.0000
60,178,1,0.0008
80,177,0,0.0000
100,176,0,0.0000
120,175,1,0.0008
140,174,0,0.0000
160,173,2,0.0016
180,172,2,0.0016
200,171,1,0.0008
220,170,0,0.0000
240,169,2,0.0016
260,168,3,0.0024
280,167,0,0.0000
300,166,1,0.0008
320,165,0,0.0000
340,164,0,0.0000
360,163,1,0.0008
380,162,1,0.0008
400,161,0,0.0000
420,160,2,0.0016
440,159,1,0.0008
460,158,1,0.0008
480,157,1,0.0008
500,156,0,0.0000
520,155,0,0.0000
540,154,1,0.0008
560,153,0,0.0000
580,152,0,0.0000
600,151,1,0.0008
620,150,3,0.0024
640,149,1,0.0008
660,148,0,0.0000
680,147,0,0.0000
700,146,1,0.0008
720,145,0,0.0000
740,144,0,0.0000
760,143,0,0.0000
780,142,0,0.0000
800,141,1,0.0008
820,140,1,0.0008
840,139,0,0.0000
860,138,2,0.0016
880,137,1,0.0008
900,136,2,0.0016
920,135,0,0.0000
940,134,1,0.0008
