trial,time_ms,phase,threshold,angle,fsr_raw,fsr_voltage
1,500,return,20,92,2,0.0016
1,520,return,20,93,1,0.0008
1,540,return,20,94,1,0.0008
1,560,return,20,95,1,0.0008
1,580,return,20,96,1,0.0008
1,600,return,20,97,0,0.0000
1,620,return,20,98,0,0.0000
1,640,return,20,99,0,0.0000
1,660,return,20,100,1,0.0008
1,680,return,20,101,3,0.0024
1,700,return,20,102,1,0.0008
1,720,return,20,103,8,0.0064
1,740,return,20,104,0,0.0000
1,760,return,20,105,2,0.0016
1,780,return,20,106,1,0.0008
1,800,return,20,107,2,0.0016
1,820,return,20,108,1,0.0008
1,840,return,20,109,2,0.0016
1,860,return,20,110,0,0.0000
1,880,return,20,111,0,0.0000
1,900,return,20,112,1,0.0008
1,920,return,20,113,0,0.0000
1,940,return,20,114,1,0.0008
1,960,return,20,115,2,0.0016
1,980,return,20,116,1,0.0008
1,1000,return,20,117,1,0.0008
1,1020,return,20,118,3,0.0024
1,1040,return,20,119,0,0.0000
1,1060,return,20,120,1,0.0008
1,1080,return,20,121,1,0.0008
1,1100,return,20,122,1,0.0008
1,1120,return,20,123,1,0.0008
1,1140,return,20,124,0,0.0000
1,1160,return,20,125,2,0.0016
1,1180,return,20,126,2,0.0016
1,1200,return,20,127,2,0.0016
1,1220,return,20,128,0,0.0000
1,1240,return,20,129,2,0.0016
1,1260,return,20,130,2,0.0016
1,1280,return,20,131,0,0.0000
1,1300,return,20,132,2,0.0016
1,1320,return,20,133,2,0.0016
1,1340,return,20,134,1,0.0008
1,1360,return,20,135,0,0.0000
1,1380,return,20,136,0,0.0000
1,1400,return,20,137,0,0.0000
1,1420,return,20,138,2,0.0016
1,1440,return,20,139,1,0.0008
1,1460,return,20,140,2,0.0016
1,1480,return,20,141,3,0.0024
1,1500,return,20,142,2,0.0016
1,1520,return,20,143,2,0.0016
1,1540,return,20,144,2,0.0016
1,1560,return,20,145,1,0.0008
1,1580,return,20,146,2,0.0016
1,1600,return,20,147,1,0.0008
1,1620,return,20,148,0,0.0000
1,1640,return,20,149,1,0.0008
1,1660,return,20,150,1,0.0008
1,1680,return,20,151,1,0.0008
1,1700,return,20,152,2,0.0016
1,1720,return,20,153,2,0.0016
1,1740,return,20,154,0,0.0000
1,1760,return,20,155,1,0.0008
1,1780,return,20,156,1,0.0008
1,1800,return,20,157,1,0.0008
1,1820,return,20,158,0,0.0000
1,1840,return,20,159,0,0.0000
1,1860,return,20,160,2,0.0016
1,1880,return,20,161,1,0.0008
1,1900,return,20,162,1,0.0008
1,1920,return,20,163,2,0.0016
1,1940,return,20,164,1,0.0008
1,1960,return,20,165,0,0.0000
1,1980,return,20,166,0,0.0000
1,2000,return,20,167,2,0.0016
1,2020,return,20,168,2,0.0016
1,2040,return,20,169,1,0.0008
1,2060,return,20,170,8,0.0064
1,2080,return,20,171,1,0.0008
1,2100,return,20,172,1,0.0008
1,2120,return,20,173,2,0.0016
1,2140,return,20,174,0,0.0000
1,2160,return,20,175,1,0.0008
1,2180,return,20,176,1,0.0008
1,2200,return,20,177,2,0.0016
1,2220,return,20,178,1,0.0008
1,2240,return,20,179,2,0.0016
1,2260,return,20,180,2,0.0016
2,20,return_to_start,25,180,1,0.0008
2,20,press,25,180,1,0.0008
2,40,press,25,179,1,0.0008
2,60,press,25,178,1,0.0008
2,80,press,25,177,2,0.0016
2,100,press,25,176,0,0.0000
2,120,press,25,175,19,0.0153
2,140,press,25,174,0,0.0000
2,160,press,25,173,2,0.0016
2,180,press,25,172,0,0.0000
2,200,press,25,171,1,0.0008
2,220,press,25,170,0,0.0000
2,240,press,25,169,2,0.0016
2,260,press,25,168,2,0.0016
2,280,press,25,167,2,0.0016
2,300,press,25,166,1,0.0008
2,320,press,25,165,1,0.0008
2,340,press,25,164,6,0.0048
2,360,press,25,163,2,0.0016
2,380,press,25,162,1,0.0008
2,400,press,25,161,2,0.0016
2,420,press,25,160,1,0.0008
2,440,press,25,159,3,0.0024
2,460,press,25,158,0,0.0000
2,480,press,25,157,1,0.0008
2,500,press,25,156,2,0.0016
2,520,press,25,155,2,0.0016
2,540,press,25,154,0,0.0000
2,560,press,25,153,1,0.0008
2,580,press,25,152,1,0.0008
2,600,press,25,151,2,0.0016
2,620,press,25,150,1,0.0008
2,640,press,25,149,4,0.0032
2,660,press,25,148,0,0.0000
2,680,press,25,147,1,0.0008
2,700,press,25,146,1,0.0008
2,720,press,25,145,0,0.0000
2,740,press,25,144,1,0.0008
2,760,press,25,143,2,0.0016
