camera,sample_index,ros_time_sec,camera_frame_id,base_frame_id,marker_id,camera_x,camera_y,camera_z,camera_qx,camera_qy,camera_qz,camera_qw,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw
front,1,0.0,camera_front_optical_link,base_link,12,0.04029983422310158,-0.005921403191942728,0.15213664344623104,0.8957548039919256,0.026687597201082984,-0.050381430508032815,0.44087732391333523,0.36852027505079454,-0.04030039305200475,0.13952173540963364,0.36347044137675283,-0.3699222901026773,-0.6434347345164626,0.563061701723984
front,1,0.0,camera_front_optical_link,base_link,10,-0.052354566143697774,-0.006812241289765751,0.15701266467447167,0.8993270887933041,-0.03618373181376506,0.07756656501061593,0.4288180883627043,0.3725632864955396,0.052353989403531455,0.14238993224855856,0.38129938691076776,-0.3655176389281004,-0.5374097389120247,0.6574179840074413
front,2,0.0,camera_front_optical_link,base_link,12,0.04042247941885051,-0.005873427917021378,0.15236249964889034,0.896279478797086,0.027201558960261375,-0.05044154917398642,0.4397713282994739,0.36874524531217856,-0.04042303907736836,0.13957370491298948,0.3644872081051825,-0.37037172196203316,-0.6432056157123295,0.5623703393802807
front,2,0.0,camera_front_optical_link,base_link,10,-0.0525528296856765,-0.0067063151800739315,0.15689440569425006,0.8989927272907982,-0.03708327626641137,0.07875539668936876,0.4292254586949635,0.37250087384735386,0.05255225337989976,0.1422439527424061,0.3808604275351312,-0.3652482513648686,-0.5364749057134364,0.6585846378047566
front,3,0.0,camera_front_optical_link,base_link,12,0.040469077620005074,-0.005869438214007121,0.15252510946583933,0.8965100736860293,0.025831972645258855,-0.05017288950960551,0.4394144719134566,0.3688943060812763,-0.040469637875821765,0.1396388102257362,0.36404560185999935,-0.3713595257279533,-0.642399843927427,0.5629256993063275
front,3,0.0,camera_front_optical_link,base_link,10,-0.05263571976862544,-0.0067636003013481025,0.15680458151152038,0.8994096566088222,-0.03755143421288184,0.07814349533169579,0.42842240082038363,0.37239525608428614,0.052635143792790016,0.14225790990362155,0.38090250027950284,-0.36631367301353523,-0.5363414429855254,0.6580770735866429
front,4,0.0,camera_front_optical_link,base_link,12,0.04039259156421797,-0.0059167858235837315,0.15256617803371514,0.8963058551447514,0.026030582067999283,-0.04928346445604394,0.43991972331511464,0.3689115173745535,-0.040393151970889093,0.13969907810988863,0.3641882174345486,-0.37058941425073644,-0.642168604881688,0.5636043924877165
front,4,0.0,camera_front_optical_link,base_link,10,-0.052588353799597524,-0.006819016584076105,0.15716915430931774,0.900365296311345,-0.03580862353701954,0.07649296344099082,0.42685934711867707,0.37270225197348317,0.05258777648461101,0.1424622079369923,0.3824785286750017,-0.3670651675652753,-0.5374188295840664,0.6558615246158096
front,5,0.0,camera_front_optical_link,base_link,12,0.04051277572162287,-0.005863295130458904,0.1524821540670805,0.8957743315013406,0.027158011012600944,-0.04961992749291159,0.440895284911014,0.36885797120814623,-0.0405133358196552,0.13961508904232645,0.3640451208685267,-0.36935725624040927,-0.6431774537094124,0.5633552434070819
front,5,0.0,camera_front_optical_link,base_link,10,-0.05245734083304987,-0.006960180838450819,0.156764995471321,0.8989073394936533,-0.036523400990032484,0.07817582019206716,0.4295581186776252,0.3722763004725846,0.05245676500262064,0.1424193427889509,0.3807968109697489,-0.36495724789863937,-0.537199204352129,0.65819222937145
rear,1,0.0,camera_rear_optical_link,base_link,5,-0.04353165929447867,0.007950035948432996,0.15610555419734456,0.03298585071033672,0.8773391471903652,-0.47326916488716375,0.07214050198886046,-0.09502025204706147,-0.043531085858032836,0.14303876927913814,0.6559465852651107,-0.7501040437101113,-0.08157168302999135,0.020592751550836372
rear,1,0.0,camera_rear_optical_link,base_link,3,0.04663788691522538,0.008058347876692488,0.15643802887035638,-0.0320550816491902,0.8766016734393939,-0.4746838375813996,-0.07223041051187093,-0.09476500310533212,0.046638461572697944,0.14327730368104125,0.7496828450272466,-0.6565627099682874,-0.019060364849724516,0.08085630614087902
front,6,0.0,camera_front_optical_link,base_link,12,0.04030345523139119,-0.005877938110044851,0.15211513274868688,0.896030706067334,0.0269017571058557,-0.04983754749556299,0.44036517585830953,0.368519148670144,-0.04030401398128054,0.13947325185270898,0.36416391542171794,-0.3699470555547867,-0.6429911414171714,0.5631040852720836
front,6,0.0,camera_front_optical_link,base_link,10,-0.05241122610393331,-0.006804684251452718,0.15665746685720797,0.8981880063244905,-0.03702032095234297,0.07821397316653922,0.43101087635108043,0.37224456125315686,0.05241065066848115,0.1422329715202435,0.379534029568251,-0.36425816482590767,-0.5375807384802448,0.6589968583934087
rear,2,0.0,camera_rear_optical_link,base_link,3,0.04655065069658115,0.008035302181346803,0.15614457280405425,-0.03317397026615489,0.8755461468047903,-0.4767464857921062,-0.07093109894074809,-0.09502122431446683,0.046551224276047555,0.14313239657000285,0.7500106466320952,-0.6565432563851931,-0.018629212627637053,0.07802521945183742
rear,2,0.0,camera_rear_optical_link,base_link,5,-0.04365351109054025,0.007803457149576341,0.15600605587936683,0.034430943604602034,0.8763688584631493,-0.47497596806419784,0.0720414033731405,-0.0950484802771093,-0.04365293802009553,0.14286387406082984,0.6551922411688342,-0.750998012322096,-0.07957703161539832,0.019814354385212757
front,7,0.0,camera_front_optical_link,base_link,12,0.040503618641057004,-0.005913277132426985,0.15265749106192908,0.8963222046693484,0.026838839300064903,-0.050867796911880696,0.4396574227270998,0.3689957576915768,-0.04050417938313881,0.13973448820087425,0.3641777055113437,-0.3708187358691959,-0.6432703113132534,0.5622022505467359
front,7,0.0,camera_front_optical_link,base_link,10,-0.052509690947779374,-0.00675488744076146,0.15678036107227317,0.8986462990618637,-0.036245834836893163,0.07813582813877847,0.4301347009954665,0.3723769866337503,0.052509115060911556,0.14223977724747286,0.3805724126072824,-0.36443217360358304,-0.5375731873846155,0.6583076012093326
rear,3,0.0,camera_rear_optical_link,base_link,3,0.04656041679934504,0.007954742947319392,0.15634158992251349,-0.03190053702770361,0.8759154080122202,-0.4761163303215771,-0.07118843828350722,-0.09480862042932275,0.046560991102207565,0.14314264884022276,0.7493297841467398,-0.6571857251476899,-0.018508026441579686,0.07917859691825305
rear,3,0.0,camera_rear_optical_link,base_link,5,-0.04354090413196894,0.007791982733159394,0.15592406029351194,0.03367977767560044,0.876387002351783,-0.4752482027358429,0.07036078794988888,-0.09511794444046998,-0.04354033136275262,0.1428188214673292,0.6563929720752991,-0.7500257762807307,-0.07870469497643195,0.020375772704606908
front,8,0.0,camera_front_optical_link,base_link,12,0.040295910261266846,-0.005865065876487148,0.15218486895719352,0.8953061342376666,0.02634942350084517,-0.05135234148116151,0.4416962427981255,0.36858779127601626,-0.04029646926731147,0.1394910571805077,0.36232118481746695,-0.36991413764779335,-0.6442031848977161,0.5629290775651895
front,8,0.0,camera_front_optical_link,base_link,10,-0.05240361770086339,-0.006806971349468469,0.15649296983799257,0.8980444935324811,-0.036840669410049806,0.07771336356608957,0.431415676391869,0.3720945094601271,0.05240304286964253,0.14216552547698838,0.3792115899204638,-0.3641018401647591,-0.5381344247123764,0.6588169404304278
rear,4,0.0,camera_rear_optical_link,base_link,5,-0.04346078514065782,0.0077845504943231105,0.1559736150795188,0.0332064891560942,0.8771981246545594,-0.47380846511305397,0.07018773089124733,-0.09506989186650672,-0.04346021218944373,0.1428330283657529,0.6566777062396305,-0.7496145056245818,-0.07994808440621365,0.021465947098792286
rear,4,0.0,camera_rear_optical_link,base_link,3,0.046564958363104654,0.00799697416070681,0.15632996295435667,-0.03213403157242609,0.8762328382534122,-0.4755931152959911,-0.07067252552672824,-0.09483700585030677,0.04656553262340994,0.1431760094462545,0.7492635454540056,-0.657233008173314,-0.019337040676587283,0.07921484254243073
front,9,0.0,camera_front_optical_link,base_link,12,0.04028566070311905,-0.005814790685163555,0.1523426623532693,0.8957297784754139,0.026180124169831658,-0.052305158709280444,0.4407345407648864,0.3687520479919025,-0.04028622028877058,0.13951217811503022,0.3624762408278636,-0.37099513196981315,-0.6442945187102564,0.5620125977679861
front,9,0.0,camera_front_optical_link,base_link,10,-0.0525599003784675,-0.00680762434859863,0.15692620217257425,0.8991760694698774,-0.03563674461338179,0.0786090139241752,0.4289907242073326,0.3724868765816658,0.05255932395589436,0.14234920786991015,0.38186599846919844,-0.3646397256581556,-0.5370414509705831,0.6578774275079503
rear,5,0.0,camera_rear_optical_link,base_link,3,0.046655561460011236,0.008056161190790768,0.15644768840575168,-0.03141015147304,0.8767157197825783,-0.47475987252805085,-0.07061170234249554,-0.09475532452566032,0.04665613615295731,0.14327940417166612,0.7487801415356979,-0.6576592206761211,-0.019778669630229357,0.08013397113032393
