type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
read,337230,22.68,101786.84,1017.87,5.17,2,-1.46,,,
read,338230,22.68,101780.23,1017.80,5.72,2,-0.91,,,
read,339230,22.68,101772.94,1017.73,6.32,2,-0.31,,,
read,340230,22.68,101765.38,1017.65,6.95,2,0.32,,,
read,341230,22.68,101758.19,1017.58,7.54,2,0.92,,,
read,342230,22.69,101751.55,1017.52,8.09,2,1.47,,,
read,343230,22.69,101745.81,1017.46,8.57,3,-1.13,,,
read,344230,22.69,101741.20,1017.41,8.95,3,-0.75,,,
read,345230,22.69,101737.35,1017.37,9.27,3,-0.43,,,
read,346230,22.69,101734.46,1017.34,9.51,3,-0.19,,,
read,347230,22.69,101732.74,1017.33,9.65,3,-0.05,,,
read,348230,22.70,101732.48,1017.32,9.67,3,-0.03,,,
test,349109,22.70,101731.16,1017.31,9.78,3,0.08,3,1,
test,349571,22.72,101729.55,1017.30,9.92,3,0.22,3,1,
test,350033,22.73,101728.55,1017.29,10.00,3,0.30,3,1,
test,350495,22.75,101727.92,1017.28,10.05,3,0.35,3,1,
test,350957,22.75,101727.63,1017.28,10.08,3,0.38,3,1,
test,351418,22.76,101727.52,1017.28,10.09,3,0.39,3,1,
test,351880,22.76,101726.60,1017.27,10.16,3,0.46,3,1,
test,352342,22.76,101725.86,1017.26,10.22,3,0.52,3,1,
test,352804,22.77,101725.48,1017.25,10.26,3,0.56,3,1,
test,353266,22.77,101724.95,1017.25,10.30,3,0.60,3,1,
read,353728,22.77,101724.53,1017.25,10.33,3,0.63,,,
