wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-17_21-29-39-466577,1781724579.466668,20260617_211832,666.470,manual_mark,operator,notsucessfull_check_trolley_with_20,
2026-06-17_21-29-49-993766,1781724589.993856,20260617_211832,676.997,run_end,logger,manual_end,
2026-06-17_21-32-46-958177,1781724766.958206,20260617_213246,0.000,run_start,logger,manual_new_run,
2026-06-17_21-32-58-987177,1781724778.987274,20260617_213246,12.029,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-17_21-32-58-989233,1781724778.989254,20260617_213258,0.000,run_start,logger,command_trolley_ready,
2026-06-17_21-32-58-991778,1781724778.991827,20260617_213258,0.003,command,trolley_command,trolley_ready,trolley_ready
2026-06-17_21-32-58-993590,1781724778.993666,20260617_213258,0.005,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-17_21-33-17-788810,1781724797.788906,20260617_213258,18.800,command,trolley_command,side_align,side_align
2026-06-17_21-33-17-794222,1781724797.794303,20260617_213258,18.805,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-17_21-33-17-804018,1781724797.804095,20260617_213258,18.815,physical_status,physical_alignment,status,side_align_left_started
2026-06-17_21-33-28-086122,1781724808.086205,20260617_213258,29.097,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-17_21-33-28-087369,1781724808.087421,20260617_213258,29.098,dropzone_status,dropzone,status,"ignored check_trolley_type; current phase=side_aligning. Send status to see the next expected command, or stop to cancel."
2026-06-17_21-34-09-527408,1781724849.527493,20260617_213258,70.538,manual_mark,operator,aruko node died,
2026-06-17_21-34-18-519108,1781724858.519197,20260617_213258,79.530,run_end,logger,manual_end,
2026-06-17_21-34-51-362444,1781724891.362466,20260617_213451,0.000,run_start,logger,command_trolley_ready,
2026-06-17_21-34-51-363824,1781724891.363863,20260617_213451,0.002,command,trolley_command,trolley_ready,trolley_ready
2026-06-17_21-34-51-365199,1781724891.365237,20260617_213451,0.003,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-17_21-35-05-193954,1781724905.194036,20260617_213451,13.832,command,trolley_command,side_align,side_align
2026-06-17_21-35-05-197540,1781724905.197611,20260617_213451,13.835,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-17_21-35-05-200346,1781724905.200421,20260617_213451,13.838,physical_status,physical_alignment,status,side_align_left_started
