run,success,failure_reason,failure_detail,duration_sec,startup_duration_sec,command_to_success_sec,mission_started_sec,attach_sec,detach_sec,dropoff_detected_sec,charging_detected_sec,last_trolley_x,last_trolley_y,last_robot_x,last_robot_y,mission_param_overrides,holonomic_param_overrides,last_log_line
37,True,,,281.587,9.388,281.586,17.054,114.466,214.501,186.029,280.58,5.2081,-0.0358,-0.0003,0.0969,,,[python3-22] [INFO] [1779410915.036969336] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
38,True,,,281.727,9.491,281.725,11.655,114.516,215.244,186.678,280.719,5.1878,-0.019,0.0005,0.113,,,[python3-22] [INFO] [1779411197.601325212] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
39,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.001,9.588,,11.752,112.593,214.227,185.255,280.81,5.1316,-0.8426,0.0013,0.0274,,,[python3-23] [INFO] [1779411498.914204898] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
40,True,,,297.781,9.483,297.779,17.15,128.543,230.491,205.743,296.774,5.1973,-0.1081,0.0009,0.0922,,,[python3-22] [INFO] [1779411916.766000408] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
41,False,local_target_timeout,"[python3-22] [ERROR] [1779412158.882495005] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.028, yaw=+6.13 deg",226.427,9.231,,12.189,113.723,,190.212,,5.2023,0.0096,5.2027,0.0277,,,[python3-23] [INFO] [1779412158.883298786] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
42,True,,,278.386,9.432,278.385,13.349,111.317,211.397,182.824,277.379,5.1363,-0.0901,0.0003,0.1043,,,[python3-22] [INFO] [1779412427.452155802] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
43,True,,,280.576,9.385,280.574,13.553,112.722,213.745,185.028,279.569,5.2131,-0.0225,-0.0004,0.108,,,[python3-22] [INFO] [1779412708.611893980] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
44,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.019,9.535,,11.7,107.051,209.647,180.173,275.221,5.2163,-0.7315,0.0013,0.0266,,,[python3-23] [INFO] [1779413005.453262791] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
45,True,,,275.768,9.281,275.766,12.231,109.703,209.031,181.722,274.76,5.1899,-0.0231,0.0005,0.1079,,,[python3-22] [INFO] [1779413406.209320355] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
46,True,,,290.41,9.382,290.408,12.3,116.9,224.321,193.841,289.403,5.198,-0.0199,-0.0003,0.1037,,,[python3-22] [INFO] [1779413697.434283495] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
47,True,,,280.512,9.436,280.51,12.459,111.285,213.271,184.45,279.504,5.2081,-0.0256,0.0001,0.0925,,,[python3-22] [INFO] [1779413978.219131852] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
48,False,local_target_timeout,"[python3-22] [ERROR] [1779414155.833962452] [nav2_trolley_mission_controller]: Local target 'pickup exit lane' timed out: distance=0.026, yaw=+0.31 deg",165.852,9.538,,11.704,120.696,,,,2.5146,1.3058,2.5148,1.3238,,,[python3-23] [INFO] [1779414155.834768709] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
49,True,,,285.027,9.534,285.026,12.449,107.392,218.485,188.458,284.018,5.1896,-0.0165,-0.0001,0.109,,,[python3-22] [INFO] [1779414431.575056229] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
50,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.036,9.434,,13.169,113.447,217.792,188.677,282.713,5.1108,-0.3271,0.0011,0.0266,,,[python3-23] [INFO] [1779414734.569575595] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
