epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2317.22,0.09252,0.09004,0.66667,0.98612,0.96032,0.99195,0.9321,0.38051,0.39131,0.91967,0.000900844,0.000900844,0.000900844
43,2370.17,0.08979,0.07955,0.66496,0.98811,0.98726,0.995,0.93001,0.38531,0.38684,0.92068,0.000896127,0.000896127,0.000896127
44,2424.14,0.08766,0.08715,0.66648,0.97181,0.97008,0.995,0.91319,0.41075,0.43816,0.95183,0.000891313,0.000891313,0.000891313
45,2477.19,0.08742,0.07749,0.6652,0.99664,0.98413,0.99384,0.93107,0.39801,0.3653,0.92438,0.000886404,0.000886404,0.000886404
46,2530.05,0.08443,0.07712,0.66285,0.98312,0.98413,0.99287,0.89019,0.41308,0.36619,0.94356,0.000881401,0.000881401,0.000881401
47,2582.57,0.08267,0.07431,0.6614,0.98943,0.96993,0.9907,0.87905,0.42788,0.40761,0.95298,0.000876305,0.000876305,0.000876305
48,2634.8,0.08739,0.07517,0.66257,0.97377,0.96885,0.98885,0.87989,0.42358,0.37271,0.9514,0.000871117,0.000871117,0.000871117
49,2687.1,0.08522,0.07115,0.66478,0.99369,0.97693,0.98578,0.89714,0.40269,0.38021,0.94942,0.000865839,0.000865839,0.000865839
50,2740.28,0.08094,0.06991,0.66345,0.98808,0.9819,0.98633,0.89986,0.42817,0.37762,0.96553,0.000860473,0.000860473,0.000860473
51,2785.94,0.07625,0.06964,0.66079,0.98378,0.98205,0.98591,0.88531,0.43035,0.38543,0.97522,0.000855018,0.000855018,0.000855018
52,2839.25,0.07788,0.06696,0.66326,0.98895,0.95392,0.98591,0.88986,0.45043,0.38876,0.96916,0.000849477,0.000849477,0.000849477
53,2891.97,0.07786,0.06396,0.65844,0.99205,0.95384,0.98578,0.89129,0.44324,0.38996,0.94931,0.000843851,0.000843851,0.000843851
54,2944.89,0.0721,0.06666,0.65471,0.99048,0.96997,0.98967,0.90464,0.42098,0.38226,0.95897,0.000838141,0.000838141,0.000838141
55,2997.16,0.07415,0.06547,0.66028,0.99495,0.96755,0.98962,0.90013,0.4407,0.38041,0.97138,0.000832349,0.000832349,0.000832349
56,3049.57,0.07073,0.06595,0.65602,0.9907,0.96825,0.98911,0.91524,0.42022,0.396,0.96127,0.000826477,0.000826477,0.000826477
57,3102.12,0.06991,0.06303,0.65588,0.99199,0.96825,0.98962,0.91078,0.40359,0.39685,0.92552,0.000820525,0.000820525,0.000820525
58,3154.94,0.06832,0.0626,0.65528,0.99332,0.96825,0.98482,0.9092,0.42145,0.40378,0.94305,0.000814495,0.000814495,0.000814495
59,3207.9,0.06957,0.06435,0.65381,0.99264,0.96703,0.99021,0.90875,0.40884,0.39386,0.93113,0.000808389,0.000808389,0.000808389
60,3260.85,0.06598,0.06178,0.65446,0.99102,0.98251,0.98618,0.91886,0.4133,0.40996,0.95699,0.000802208,0.000802208,0.000802208
61,3313.74,0.06716,0.05964,0.65393,0.99342,0.98413,0.98618,0.92618,0.40579,0.40047,0.95032,0.000795954,0.000795954,0.000795954
62,3366.92,0.06302,0.05657,0.6526,0.99222,0.98413,0.98633,0.93187,0.39651,0.40565,0.93366,0.000789628,0.000789628,0.000789628
63,3419.4,0.0601,0.05701,0.65134,0.99239,0.98205,0.99167,0.92191,0.40219,0.39943,0.94397,0.000783231,0.000783231,0.000783231
64,3472.73,0.05769,0.05609,0.65073,0.99051,0.98413,0.98649,0.90643,0.40452,0.39379,0.94019,0.000776766,0.000776766,0.000776766
65,3527.18,0.05736,0.05746,0.65733,0.98174,0.9838,0.98667,0.89875,0.43537,0.41379,0.9649,0.000770234,0.000770234,0.000770234
66,3580.25,0.05901,0.05439,0.65026,0.9842,0.98154,0.98618,0.89033,0.4169,0.43362,0.96694,0.000763637,0.000763637,0.000763637
67,3632.98,0.05431,0.05269,0.65071,0.98823,0.98316,0.98604,0.89887,0.41367,0.43424,0.97367,0.000756976,0.000756976,0.000756976
68,3686.52,0.05513,0.05476,0.6447,0.99011,0.98169,0.98578,0.90657,0.41462,0.42515,0.96941,0.000750252,0.000750252,0.000750252
69,3739.9,0.0529,0.05163,0.64624,0.99244,0.98413,0.98578,0.90768,0.40925,0.41892,0.96681,0.000743468,0.000743468,0.000743468
70,3792.95,0.05496,0.0542,0.64765,0.98745,0.98413,0.98604,0.90054,0.42737,0.40395,0.97757,0.000736625,0.000736625,0.000736625
71,3846.39,0.05315,0.05221,0.65068,0.97396,0.98082,0.98618,0.90374,0.41008,0.39491,0.95364,0.000729725,0.000729725,0.000729725
72,3899.35,0.04792,0.04861,0.64761,0.98914,0.95063,0.98445,0.90969,0.40573,0.42138,0.95055,0.00072277,0.00072277,0.00072277
