run,success,failure_reason,failure_detail,duration_sec,startup_duration_sec,command_to_success_sec,mission_started_sec,attach_sec,detach_sec,dropoff_detected_sec,charging_detected_sec,last_trolley_x,last_trolley_y,last_robot_x,last_robot_y,mission_param_overrides,holonomic_param_overrides,last_log_line
35,False,local_target_timeout,"[python3-22] [ERROR] [1779986456.237758105] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.030, yaw=+3.99 deg",202.822,10.137,,14.412,123.91,,163.562,,5.1989,0.0053,5.202,0.0299,,,[python3-23] [INFO] [1779986456.239203545] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
36,True,,,262.414,10.337,262.412,15.009,126.514,195.608,167.183,261.405,5.1948,-0.0394,0.0002,0.1072,,,[python3-22] [INFO] [1779986709.106170394] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
37,True,,,298.637,10.042,298.634,12.461,130.831,231.375,200.387,297.625,5.1804,-0.116,-0.0001,0.093,,,[python3-22] [INFO] [1779987008.491693558] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
38,True,,,258.265,10.297,258.263,12.466,124.652,191.732,164.591,257.256,5.2026,-0.1439,-0.0002,0.1112,,,[python3-22] [INFO] [1779987267.979188225] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
39,False,run_timeout,Robot did not return to charging while trolley remained in orange drop-off before timeout.,420.01,10.342,,12.51,130.725,202.465,170.729,268.978,4.7687,-1.9591,0.0014,0.0269,,,[python3-22] [INFO] [1779987557.512220800] [nav2_trolley_mission_controller]: Set holonomic lidar ignore radius to 0.00 m.
40,False,holonomic_goal_timeout,"[python3-22] [ERROR] [1779987799.811942393] [nav2_trolley_mission_controller]: Holonomic goal 'pickup lane entry' timed out: distance=1.348, yaw=0.5 deg",100.365,10.193,,12.361,,,,,2.485,-0.049,0.0008,0.0024,,,[python3-22] [INFO] [1779987799.814419213] [nav2_trolley_mission_controller]: Set holonomic lidar ignore radius to 0.00 m.
41,True,,,258.411,10.343,258.409,12.509,125.887,191.404,165.197,257.402,5.1973,-0.1789,-0.0003,0.0994,,,[python3-22] [INFO] [1779988048.499377229] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
42,True,,,276.632,10.193,276.63,14.114,145.073,209.57,184.931,275.623,5.1997,-0.1067,-0.0003,0.0921,,,[python3-22] [INFO] [1779988325.804590478] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
43,False,local_target_timeout,"[python3-22] [ERROR] [1779988546.756598747] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.025, yaw=-4.11 deg",209.669,10.293,,12.462,130.917,,170.164,,5.2078,0.0007,5.1984,0.0251,,,[python3-23] [INFO] [1779988546.757618973] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
44,True,,,261.789,10.19,261.788,12.384,127.105,194.471,167.56,260.781,5.2006,-0.0486,-0.0003,0.0935,,,[python3-22] [INFO] [1779988798.742967331] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
45,True,,,266.847,10.295,266.845,17.965,131.435,200.352,171.631,265.839,5.1976,-0.0382,-0.0004,0.1008,,,[python3-22] [INFO] [1779989066.412838749] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
46,True,,,262.364,10.039,262.362,13.457,127.277,195.249,167.63,261.355,5.2095,-0.0333,-0.0001,0.0969,,,[python3-22] [INFO] [1779989329.409973124] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
47,True,,,265.356,10.239,265.355,12.408,129.436,197.924,170.607,264.347,5.2009,-0.0376,0.0008,0.0944,,,[python3-22] [INFO] [1779989595.621811698] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
48,True,,,257.397,10.346,257.395,12.512,122.353,189.841,163.18,256.389,5.2021,-0.0416,0.0008,0.0924,,,[python3-22] [INFO] [1779989853.723321583] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
49,True,,,275.629,10.196,275.626,14.62,137.598,208.553,178.856,274.62,5.1872,-0.1972,-0.0,0.1019,,,[python3-22] [INFO] [1779990130.621199651] [nav2_trolley_mission_controller]: Local target 'return lane above drop zones' reached.
50,False,local_target_timeout,"[python3-22] [ERROR] [1779990346.433938362] [nav2_trolley_mission_controller]: Local target 'drop-off center' timed out: distance=0.029, yaw=-2.27 deg",204.46,10.192,,12.359,124.506,,165.01,,5.2054,0.0053,5.199,0.0295,,,[python3-23] [INFO] [1779990346.434908548] [holonomic_goal_controller]: Holonomic lidar ignore radius set to 0.00 m.
