epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11476.9,0.14208,0.13047,0.72373,0.98082,0.97868,0.99002,0.93168,0.39863,0.33896,0.92333,0.000900844,0.000900844,0.000900844
43,11745.6,0.13789,0.1268,0.7225,0.96483,0.98676,0.99039,0.91858,0.40042,0.34486,0.9089,0.000896127,0.000896127,0.000896127
44,12012.6,0.13483,0.12308,0.7198,0.95583,0.92907,0.98181,0.90282,0.38568,0.47396,0.90751,0.000891313,0.000891313,0.000891313
45,12279.1,0.13022,0.12496,0.72082,0.94386,0.92978,0.97979,0.91572,0.38233,0.416,0.90763,0.000886404,0.000886404,0.000886404
46,12544.5,0.13913,0.13377,0.7206,0.88164,0.89979,0.95364,0.87945,0.4144,0.65445,0.94936,0.000881401,0.000881401,0.000881401
47,12809.3,0.14506,0.13453,0.72363,0.94801,0.94147,0.97654,0.91283,0.42995,0.47693,0.96439,0.000876305,0.000876305,0.000876305
48,13072.8,0.14338,0.13427,0.72175,0.93427,0.94465,0.96801,0.8684,0.51216,0.54023,1.00565,0.000871117,0.000871117,0.000871117
49,13337,0.13655,0.12715,0.72151,0.95844,0.95743,0.98614,0.92541,0.38084,0.33472,0.9125,0.000865839,0.000865839,0.000865839
50,13600.4,0.1325,0.12528,0.7214,0.93397,0.9224,0.95396,0.89063,0.37716,0.51358,0.89149,0.000860473,0.000860473,0.000860473
51,13862.8,0.13306,0.12894,0.71979,0.95777,0.95041,0.97719,0.90446,0.40419,0.36477,0.93214,0.000855018,0.000855018,0.000855018
52,14125.2,0.13387,0.12346,0.7183,0.94267,0.94353,0.98217,0.92261,0.39041,0.37475,0.93368,0.000849477,0.000849477,0.000849477
53,14386.7,0.12687,0.11918,0.71772,0.95727,0.94839,0.98247,0.92014,0.3898,0.40402,0.93764,0.000843851,0.000843851,0.000843851
54,14652.8,0.12252,0.1134,0.71574,0.96722,0.94583,0.9843,0.92872,0.36887,0.34271,0.93569,0.000838141,0.000838141,0.000838141
55,14920.2,0.12018,0.11618,0.71679,0.95322,0.95177,0.9709,0.89783,0.35951,0.4129,0.90759,0.000832349,0.000832349,0.000832349
56,15188.4,0.12156,0.11836,0.71759,0.96096,0.94638,0.97864,0.92179,0.38321,0.37514,0.91587,0.000826477,0.000826477,0.000826477
57,15456.1,0.12271,0.11621,0.71821,0.97642,0.95356,0.97715,0.92312,0.37177,0.34595,0.93285,0.000820525,0.000820525,0.000820525
58,15723.3,0.12031,0.11366,0.71701,0.965,0.95177,0.98084,0.92801,0.38359,0.35156,0.93897,0.000814495,0.000814495,0.000814495
59,15996.9,0.11102,0.10847,0.71495,0.92512,0.9511,0.98927,0.9305,0.37982,0.40483,0.94596,0.000808389,0.000808389,0.000808389
60,16269.7,0.11073,0.10776,0.71517,0.97729,0.95722,0.99086,0.92711,0.38317,0.32519,0.93366,0.000802208,0.000802208,0.000802208
61,16541.7,0.10649,0.10584,0.71342,0.92389,0.92102,0.9589,0.89098,0.38977,0.43335,0.91308,0.000795954,0.000795954,0.000795954
62,16811.5,0.11026,0.10904,0.71392,0.93896,0.93923,0.96267,0.90911,0.37692,0.39497,0.91112,0.000789628,0.000789628,0.000789628
63,17080.9,0.11108,0.10807,0.71411,0.93961,0.94157,0.96781,0.88859,0.41323,0.43729,0.94257,0.000783231,0.000783231,0.000783231
64,17351.1,0.10107,0.1019,0.71227,0.95006,0.9654,0.9886,0.91601,0.41919,0.35734,0.96079,0.000776766,0.000776766,0.000776766
65,17620.6,0.10259,0.10374,0.71255,0.96717,0.94086,0.97131,0.90233,0.40217,0.3705,0.93974,0.000770234,0.000770234,0.000770234
66,17890.7,0.10245,0.10132,0.71098,0.9465,0.9545,0.97747,0.9197,0.38798,0.3602,0.94329,0.000763637,0.000763637,0.000763637
67,18159.6,0.09826,0.09888,0.71249,0.95992,0.96581,0.9882,0.92481,0.39946,0.33941,0.96783,0.000756976,0.000756976,0.000756976
68,18428.7,0.09723,0.09551,0.7108,0.97955,0.97017,0.9932,0.92515,0.40211,0.30798,0.94876,0.000750252,0.000750252,0.000750252
69,18698.7,0.09725,0.09506,0.71155,0.97744,0.9581,0.9927,0.91958,0.43091,0.34403,0.96077,0.000743468,0.000743468,0.000743468
