camera,marker_id,camera_frame_id,base_frame_id,count,mean_camera_x,mean_camera_y,mean_camera_z,std_camera_x,std_camera_y,std_camera_z,mean_base_x,mean_base_y,mean_base_z,std_base_x,std_base_y,std_base_z,min_base_x,max_base_x,min_base_y,max_base_y,min_base_z,max_base_z
front,12,camera_front_optical_link,base_link,50,0.04045072598023766,-0.0059530551259286265,0.15247522034165445,6.837401690628039e-05,5.2513036091507e-05,0.0001614628043157008,0.36881375342470507,-0.04045128605280261,0.13969350917878437,0.00015084432200985828,6.837438563116438e-05,7.793456378197738e-05,0.368519148670144,0.3692750362640824,-0.04059921602517785,-0.04029298269726464,0.13947325185270898,0.13992105686487388
front,10,camera_front_optical_link,base_link,50,-0.05236936934065579,-0.006804546792040491,0.15667324398937324,0.00010271150759848936,5.5776628812720477e-05,0.0002728819066840403,0.3722589181704917,0.052368793847251245,0.14223951452167172,0.00023994060801353983,0.00010271075321490604,0.00014143629983318787,0.3717691610408948,0.373012031589415,0.0521662634908224,0.052738880767596454,0.14193953139245483,0.14266400109918112
rear,3,camera_rear_optical_link,base_link,45,0.04653252678090544,0.0080644387945995,0.15631963549134276,7.584483600534744e-05,3.68817898149415e-05,0.00015581928299387393,-0.09487487757963337,0.04653310100351733,0.14323278851802818,0.00014294296612151126,7.584524070503746e-05,7.216067086811441e-05,-0.09515393464456165,-0.09457898561735464,0.04633214646665112,0.046673068504900925,0.14305492910494733,0.1433881170427587
rear,5,camera_rear_optical_link,base_link,45,-0.04357686830653728,0.007900827226917973,0.15615365983920326,9.17817370240977e-05,6.202826884022829e-05,0.00023673040777107102,-0.09495585679291607,-0.04357629469356522,0.14301450164108961,0.00021001017805373978,9.178103949366982e-05,0.00012563695815018724,-0.09548261165886304,-0.09450191414847331,-0.04376169196852758,-0.04341445045058758,0.14269735557340504,0.1432811639404064
