camera,sample_index,ros_time_sec,frame_id,marker_id,x,y,z,qx,qy,qz,qw
left,1,1780484551.20648,camera_left_optical_link,24,0.22977255275758823,-0.07871139794566313,0.32072305146402436,0.00020949200160554258,0.9993971649605881,0.02478262230689403,-0.0243122276526485
left,1,1780484551.20648,camera_left_optical_link,25,0.06506778762576583,-0.07344692117745084,0.3039401158233902,-0.0038141904054180826,0.9941215684639493,-0.10647346688355527,0.0192655110527884
left,1,1780484551.20648,camera_left_optical_link,26,-0.08931445901877881,-0.08766096078186807,0.343764269280576,-0.0069200218848000684,0.9729615813910737,0.22644943555999428,-0.04492802653862155
left,1,1780484551.20648,camera_left_optical_link,27,-0.2540902568385583,-0.10085025232015625,0.3883739876367518,-0.028990997811161608,0.9845936819333329,0.1501028888812242,-0.08487594648890369
left,2,1780484551.3100438,camera_left_optical_link,24,0.22977255275758823,-0.07871139794566313,0.32072305146402436,0.00020949200160554258,0.9993971649605881,0.02478262230689403,-0.0243122276526485
left,2,1780484551.3100438,camera_left_optical_link,25,0.06532062163742158,-0.07386368510427627,0.3059498853360668,-0.0016600848495591043,0.9968276944751244,-0.0739958676316528,0.029264367738588044
left,2,1780484551.3100438,camera_left_optical_link,26,-0.0891250364863799,-0.08863949918035605,0.346204219296742,0.06684145403707083,0.9554120676330706,0.039761461404442776,0.284849130646899
left,2,1780484551.3100438,camera_left_optical_link,27,-0.2540902568385583,-0.10085025232015625,0.3883739876367518,-0.028990997811161608,0.9845936819333329,0.1501028888812242,-0.08487594648890369
left,3,1780484551.4093058,camera_left_optical_link,24,0.22977255275758823,-0.07871139794566313,0.32072305146402436,0.00020949200160554258,0.9993971649605881,0.02478262230689403,-0.0243122276526485
left,3,1780484551.4093058,camera_left_optical_link,25,0.06532062163742158,-0.07386368510427627,0.3059498853360668,-0.0016600848495591043,0.9968276944751244,-0.0739958676316528,0.029264367738588044
left,3,1780484551.4093058,camera_left_optical_link,26,-0.08870532511672082,-0.08681286764677218,0.34060525762177735,-0.0060651490074565126,0.9683457573000239,0.24615296602792733,-0.04096859287569624
left,3,1780484551.4093058,camera_left_optical_link,27,-0.2540902568385583,-0.10085025232015625,0.3883739876367518,-0.028990997811161608,0.9845936819333329,0.1501028888812242,-0.08487594648890369
left,4,1780484551.5107083,camera_left_optical_link,25,0.06417078054627699,-0.07245816282030605,0.300668364311325,-0.009013472910169363,0.9940940017386377,-0.1061414022980289,0.02073344475881682
left,4,1780484551.5107083,camera_left_optical_link,24,0.23088870191336577,-0.07899207639455748,0.3219620577819228,0.0017569058861970092,0.9992009720352989,0.035263895487331554,-0.01872934703825731
left,4,1780484551.5107083,camera_left_optical_link,26,-0.08931445901877881,-0.08766096078186807,0.343764269280576,-0.0069200218848000684,0.9729615813910737,0.22644943555999428,-0.04492802653862155
