timestamp,command,url,success,http_status,response_time_ms,response_bytes,press_finished,calibration_finished,trial,energy_saving_mode,threshold,current_threshold,threshold_reached,trigger_angle,fsr_raw,fsr_voltage,wifi_rssi_dbm,status,wifi_mode,wifi_ssid,ip,wifi_connected,current_angle,fsr_threshold,last_fsr_raw,last_fsr_voltage,last_trigger_angle,last_press_reached_threshold,last_trial_valid,operator_answer,successful_threshold,old_threshold,new_threshold,max_threshold_exceeded,next_step,response,error
2026-06-21T16:41:25.367,reset_calibration,http://192.168.8.226/reset_calibration,True,200,166.01,65,,,0,,,20,,,,,-64,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-64,
2026-06-21T16:41:34.845,press,http://192.168.8.226/press,True,200,7949.72,212,yes,,1,yes,20,,yes,23,123,0.0991,-66,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=yes | trigger_angle=23 | fsr_raw=123 | fsr_voltage=0.0991 | wifi_rssi_dbm=-66 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T16:41:40.725,result,http://192.168.8.226/result?success=yes,True,200,223.00,134,,,1,,,,,,,,-63,,,,,,,,123,0.0991,23,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=23 | last_fsr_raw=123 | last_fsr_voltage=0.0991 | wifi_rssi_dbm=-63,
2026-06-21T16:41:44.823,reset_calibration,http://192.168.8.226/reset_calibration,True,200,141.66,65,,,0,,,20,,,,,-67,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-67,
2026-06-21T16:41:53.441,press,http://192.168.8.226/press,True,200,7847.86,211,yes,,1,yes,20,,yes,24,44,0.0355,-66,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=yes | trigger_angle=24 | fsr_raw=44 | fsr_voltage=0.0355 | wifi_rssi_dbm=-66 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T16:41:57.108,result,http://192.168.8.226/result?success=yes,True,200,126.56,133,,,1,,,,,,,,-62,,,,,,,,44,0.0355,24,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=24 | last_fsr_raw=44 | last_fsr_voltage=0.0355 | wifi_rssi_dbm=-62,
2026-06-21T16:41:59.979,reset_calibration,http://192.168.8.226/reset_calibration,True,200,167.40,65,,,0,,,20,,,,,-62,,,,,,,,,,,,,,,,,,,Calibration reset | current_threshold=20 | trial=0 | wifi_rssi_dbm=-62,
2026-06-21T16:42:10.889,press,http://192.168.8.226/press,True,200,7886.22,212,yes,,1,yes,20,,yes,23,120,0.0967,-61,,,,,,,,,,,,,,,,,,call /result?success=yes or /result?success=no,Press command finished | trial=1 | energy_saving_mode=yes | threshold=20 | threshold_reached=yes | trigger_angle=23 | fsr_raw=120 | fsr_voltage=0.0967 | wifi_rssi_dbm=-61 | next_step=call /result?success=yes or /result?success=no,
2026-06-21T16:42:16.157,result,http://192.168.8.226/result?success=yes,True,200,170.64,134,,,1,,,,,,,,-63,,,,,,,,120,0.0967,23,,,yes,20,,,,,Calibration finished | successful_threshold=20 | trial=1 | last_trigger_angle=23 | last_fsr_raw=120 | last_fsr_voltage=0.0967 | wifi_rssi_dbm=-63,
