timestamp,command,url,success,http_status,response_time_ms,response_bytes,press_finished,energy_saving_mode,threshold,threshold_reached,trigger_angle,fsr_raw,fsr_voltage,status,wifi_mode,wifi_ssid,ip,wifi_connected,current_angle,fsr_threshold,last_fsr_raw,last_fsr_voltage,last_trigger_angle,last_press_reached_threshold,wifi_rssi_dbm,response,error
2026-06-21T19:33:13.923,press,http://192.168.8.226/press,True,200,7216.59,146,yes,yes,50,yes,26,63,0.0508,,,,,,,,,,,,-54,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=26 | fsr_raw=63 | fsr_voltage=0.0508 | wifi_rssi_dbm=-54,
2026-06-21T19:34:00.397,press,http://192.168.8.226/press,True,200,7367.50,146,yes,yes,50,yes,26,56,0.0451,,,,,,,,,,,,-55,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=26 | fsr_raw=56 | fsr_voltage=0.0451 | wifi_rssi_dbm=-55,
2026-06-21T19:34:11.333,press,http://192.168.8.226/press,True,200,7336.50,146,yes,yes,50,yes,24,76,0.0612,,,,,,,,,,,,-55,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=24 | fsr_raw=76 | fsr_voltage=0.0612 | wifi_rssi_dbm=-55,
2026-06-21T19:34:19.195,press,http://192.168.8.226/press,True,200,7309.88,146,yes,yes,50,yes,27,56,0.0451,,,,,,,,,,,,-57,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=27 | fsr_raw=56 | fsr_voltage=0.0451 | wifi_rssi_dbm=-57,
2026-06-21T19:34:27.352,press,http://192.168.8.226/press,True,200,7340.46,146,yes,yes,50,yes,28,59,0.0475,,,,,,,,,,,,-56,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=28 | fsr_raw=59 | fsr_voltage=0.0475 | wifi_rssi_dbm=-56,
2026-06-21T19:34:42.129,press,http://192.168.8.226/press,True,200,7532.60,146,yes,yes,50,yes,22,55,0.0443,,,,,,,,,,,,-55,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=22 | fsr_raw=55 | fsr_voltage=0.0443 | wifi_rssi_dbm=-55,
2026-06-21T19:34:50.243,press,http://192.168.8.226/press,True,200,7442.21,146,yes,yes,50,yes,24,56,0.0451,,,,,,,,,,,,-56,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=24 | fsr_raw=56 | fsr_voltage=0.0451 | wifi_rssi_dbm=-56,
2026-06-21T19:34:58.753,press,http://192.168.8.226/press,True,200,7804.08,146,yes,yes,50,yes,16,55,0.0443,,,,,,,,,,,,-56,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=16 | fsr_raw=55 | fsr_voltage=0.0443 | wifi_rssi_dbm=-56,
2026-06-21T19:35:09.846,press,http://192.168.8.226/press,True,200,8137.36,145,yes,yes,50,yes,5,58,0.0467,,,,,,,,,,,,-56,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=5 | fsr_raw=58 | fsr_voltage=0.0467 | wifi_rssi_dbm=-56,
2026-06-21T19:35:34.638,press,http://192.168.8.226/press,True,200,7662.88,146,yes,yes,50,yes,20,58,0.0467,,,,,,,,,,,,-55,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=20 | fsr_raw=58 | fsr_voltage=0.0467 | wifi_rssi_dbm=-55,
2026-06-21T19:35:43.428,press,http://192.168.8.226/press,True,200,8294.69,144,yes,yes,50,no,0,29,0.0234,,,,,,,,,,,,-57,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=no | trigger_angle=0 | fsr_raw=29 | fsr_voltage=0.0234 | wifi_rssi_dbm=-57,
2026-06-21T19:35:55.701,press,http://192.168.8.226/press,True,200,7097.95,146,yes,yes,50,yes,31,72,0.0580,,,,,,,,,,,,-57,Press command finished | energy_saving_mode=yes | threshold=50 | threshold_reached=yes | trigger_angle=31 | fsr_raw=72 | fsr_voltage=0.0580 | wifi_rssi_dbm=-57,
