camera,sample_index,ros_time_sec,frame_id,marker_id,x,y,z,qx,qy,qz,qw
front,1,1780481762.6907701,camera_front_optical_link,12,0.022463434273672395,-0.006309334678842412,0.21854072363051674,0.8898242385536816,-0.009536175959212533,0.002188872446269728,0.4561985254994253
front,1,1780481762.6907701,camera_front_optical_link,10,-0.07171685517744354,-0.005735410154114897,0.23354227903151745,0.8977230949564645,-0.028564590355930515,0.04277998333696644,0.4375467769110788
front,1,1780481762.6907701,camera_front_optical_link,14,0.12727079797561308,-0.007591489710935045,0.2623030338991721,0.9053166503323274,0.0037650278531684237,-0.009137783893995962,0.4246222887482779
rear,1,1780481763.4910557,camera_rear_optical_link,3,0.039040020198790756,0.010832880284154365,0.22564728587232288,0.0006389953705393265,0.8762995889066652,-0.4815420257032927,-0.014693524032561002
rear,1,1780481763.4910557,camera_rear_optical_link,5,-0.051350732794545016,0.0119490457646226,0.22987204391127522,0.022844309720161493,0.8789146913548959,-0.47499606153486834,0.03695733161770433
rear,1,1780481763.4910557,camera_rear_optical_link,1,0.15253972949413622,0.014167174103495186,0.27895683701685,-0.0046552414578883185,0.8944082309725361,-0.445596869192623,-0.03815331258593069
rear,1,1780481763.4910557,camera_rear_optical_link,7,-0.16875510445903355,0.017283634016650954,0.2865449112465896,0.024208575899354358,0.8993025297639207,-0.43577494034568365,0.027732763653372128
front,2,1780481764.3070927,camera_front_optical_link,12,0.022711062903677748,-0.006320433302355745,0.2194252248110283,0.8912043688139849,-0.007895704454542239,0.0017550563781115148,0.45352987843706943
front,2,1780481764.3070927,camera_front_optical_link,10,-0.07151976057456923,-0.005687627331502475,0.23303605570497735,0.8977843652690869,-0.027856916697701864,0.04027039091203348,0.4377048335194304
front,2,1780481764.3070927,camera_front_optical_link,14,0.12749975202360936,-0.007804830251923228,0.2623160247697636,0.9022171321685002,0.0008536796713700109,-0.012004684131996632,0.4311141440634451
rear,2,1780481765.12219,camera_rear_optical_link,3,0.0389730081306824,0.010696903405029637,0.22578819433572098,-0.0002965006750031552,0.8762389474124962,-0.4816545141074475,-0.014633802127578902
