run_id,started_wall_time_iso,ended_wall_time_iso,end_reason,total_time_sec,time_to_approach_goal_sent_sec,time_to_side_align_complete_sec,time_to_under_trolley_sec,time_to_fine_align_complete_sec,time_to_delivered_sec,trolley_type,aruco_messages,aruco_detections,yolo_messages,yolo_detections,commands_seen,last_phase,last_dropzone_status,last_docking_status,notes
1,2026-06-16T21:48:53,2026-06-16T21:50:10,auto_fine_align_complete,76.640,0.018,27.038,57.438,76.634,,trash_trolley,427,1326,55,1,trolley_ready|side_align|check_trolley_type|drive_under|fine_align,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[5, 10] center_x=+0.1302 center_y=+0.0108 yaw=+175.21deg orientation=flipped_180 error_x=-0.0045 error_y=+0.0070 yaw_error=+3.31deg target_x=+0.1347 target_y=+0.0038 tolerance_x=0.0250 tolerance_y=0.0100 tolerance_yaw=6.00deg. Remembered trash_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}""","fine_align_under_done | final ids=[5, 10] center_x=+0.1302 center_y=+0.0108 yaw=+175.21deg orientation=flipped_180 error_x=-0.0045 error_y=+0.0070 yaw_error=+3.31deg target_x=+0.1347 target_y=+0.0038 tolerance_x=0.0250 tolerance_y=0.0100 tolerance_yaw=6.00deg",auto_trolley_ready|auto_fine_align_complete
2,2026-06-16T21:58:30,2026-06-16T22:00:17,auto_fine_align_complete,106.588,11.110,45.584,75.785,106.584,,trash_trolley,763,1764,73,9,trolley_ready|side_align|check_trolley_type|drive_under|fine_align,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[5, 10] center_x=+0.1342 center_y=+0.0107 yaw=+173.69deg orientation=flipped_180 error_x=-0.0005 error_y=+0.0069 yaw_error=+1.79deg target_x=+0.1347 target_y=+0.0038 tolerance_x=0.0250 tolerance_y=0.0100 tolerance_yaw=6.00deg. Remembered trash_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}""","fine_align_under_done | final ids=[5, 10] center_x=+0.1342 center_y=+0.0107 yaw=+173.69deg orientation=flipped_180 error_x=-0.0005 error_y=+0.0069 yaw_error=+1.79deg target_x=+0.1347 target_y=+0.0038 tolerance_x=0.0250 tolerance_y=0.0100 tolerance_yaw=6.00deg",manual_new_run|auto_fine_align_complete
